date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-03-01,za,"South Africa","City of Cape Town","All",Top Trending Jobs,"Software Engineer",3.9763584060442345,1
2021-03-01,za,"South Africa","City of Cape Town","All",Top Trending Jobs,"Attorney",3.5868505070326977,2
2021-03-01,za,"South Africa","City of Cape Town","All",Top Trending Jobs,"Teacher",2.4553089750987627,3
2021-03-01,za,"South Africa","City of Cape Town","All",Top Trending Jobs,"Account Manager",1.8560719048198782,4
2021-03-01,za,"South Africa","City of Cape Town","All",Top Trending Jobs,"Financial Advisor",1.5862222546175557,5
2021-03-01,za,"South Africa","City of Cape Town","All",Top Trending Skills,"Teaching",-1,1
2021-03-01,za,"South Africa","City of Cape Town","All",Top Trending Skills,"JavaScript",-1,2
2021-03-01,za,"South Africa","City of Cape Town","All",Top Trending Skills,"C#",-1,3
2021-03-01,za,"South Africa","City of Cape Town","All",Top Trending Skills,"Legal Research",-1,4
2021-03-01,za,"South Africa","City of Cape Town","All",Top Trending Skills,"Legal Writing",-1,5
2021-03-01,za,"South Africa","City of Cape Town","All",Top Trending Skills,"Account Management",-1,6
2021-03-01,za,"South Africa","City of Cape Town","All",Top Trending Skills,"Curriculum Development",-1,7
2021-03-01,za,"South Africa","City of Cape Town","All",Top Trending Skills,"Financial Planning",-1,8
2021-03-01,za,"South Africa","City of Cape Town","All",Top Trending Skills,"Retirement Planning",-1,9
2021-03-01,za,"South Africa","City of Cape Town","All",Top Trending Skills,"Sales Management",-1,10
