date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-05-01,es,"Spain","All","Manufacturing",Top Trending Employers,"Nordex Group",10.93278251218729,1
2020-05-01,es,"Spain","All","Manufacturing",Top Trending Employers,"ACCIONA",1.8836299100727105,2
2020-05-01,es,"Spain","All","Manufacturing",Top Trending Jobs,"Project Manager",3.314964535365051,1
2020-05-01,es,"Spain","All","Manufacturing",Top Trending Jobs,"Project Engineer",2.3316172542922025,2
2020-05-01,es,"Spain","All","Manufacturing",Top Trending Jobs,"Sales Manager",2.0542198116636126,3
2020-05-01,es,"Spain","All","Manufacturing",Top Trending Jobs,"Software Engineer",1.9412985599553032,4
2020-05-01,es,"Spain","All","Manufacturing",Top Trending Jobs,"Business Technician",1.4293418445398984,5
2020-05-01,es,"Spain","All","Manufacturing",Top Trending Jobs,"Maintenance Technician",1.1898555485044082,6
2020-05-01,es,"Spain","All","Manufacturing",Top Trending Jobs,"Mechanical Engineer",1.1713327357862893,7
2020-05-01,es,"Spain","All","Manufacturing",Top Trending Jobs,"Supply Chain Associate",1.0994791757829019,8
2020-05-01,es,"Spain","All","Manufacturing",Top Trending Skills,"JavaScript",-1,1
2020-05-01,es,"Spain","All","Manufacturing",Top Trending Skills,"Java",-1,2
2020-05-01,es,"Spain","All","Manufacturing",Top Trending Skills,"Negotiation",-1,3
2020-05-01,es,"Spain","All","Manufacturing",Top Trending Skills,"Sales Management",-1,4
2020-05-01,es,"Spain","All","Manufacturing",Top Trending Skills,"AutoCAD",-1,5
2020-05-01,es,"Spain","All","Manufacturing",Top Trending Skills,"Preventive Maintenance",-1,6
2020-05-01,es,"Spain","All","Manufacturing",Top Trending Skills,"Electricity",-1,7
2020-05-01,es,"Spain","All","Manufacturing",Top Trending Skills,"SOLIDWORKS",-1,8
