date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-06-01,es,"Spain","All","Finance",Top Trending Employers,"Banco Santander",2.0465316165196934,1
2020-06-01,es,"Spain","All","Finance",Top Trending Employers,"OVB Allfinanz España",12.170667565002145,2
2020-06-01,es,"Spain","All","Finance",Top Trending Employers,"BNP Paribas",10.419081656542504,3
2020-06-01,es,"Spain","All","Finance",Top Trending Employers,"Banco Mediolanum",9.927666429642658,4
2020-06-01,es,"Spain","All","Finance",Top Trending Employers,"MAPFRE",1.82440551326986,5
2020-06-01,es,"Spain","All","Finance",Top Trending Employers,"Generali",4.6042341708783505,6
2020-06-01,es,"Spain","All","Finance",Top Trending Employers,"Openbank",10.42261007166006,7
2020-06-01,es,"Spain","All","Finance",Top Trending Employers,"santalucía seguros",6.107030302186232,8
2020-06-01,es,"Spain","All","Finance",Top Trending Jobs,"Financial Advisor",6.961208941704846,1
2020-06-01,es,"Spain","All","Finance",Top Trending Jobs,"Insurance Agent",4.779019907847385,2
2020-06-01,es,"Spain","All","Finance",Top Trending Jobs,"Commercial Business Manager",3.359007125168624,3
2020-06-01,es,"Spain","All","Finance",Top Trending Jobs,"Banker",2.9294988314852177,4
2020-06-01,es,"Spain","All","Finance",Top Trending Jobs,"Software Engineer",2.027271184075356,5
2020-06-01,es,"Spain","All","Finance",Top Trending Skills,"JavaScript",-1,1
2020-06-01,es,"Spain","All","Finance",Top Trending Skills,"Java",-1,2
2020-06-01,es,"Spain","All","Finance",Top Trending Skills,"Financial Analysis",-1,3
2020-06-01,es,"Spain","All","Finance",Top Trending Skills,"General Insurance",-1,4
