date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Employers,"Decathlon España",11.085889223276036,1
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Employers,"glovo-app",17.732046020803256,2
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Employers,"Securitas Direct by Verisure",8.333607109030638,3
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Employers,"Media Markt Iberia",6.2429285113115425,4
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Employers,"SPRINTER",8.571231337907678,5
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Jobs,"Salesperson",5.6277698402140715,1
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Jobs,"Sales Manager",1.9388458888362954,2
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Jobs,"Graphic Designer",1.6371338114581253,3
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Jobs,"Quality Control Technician",1.485130812521428,4
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Jobs,"Store Manager",1.2285595172843988,5
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Jobs,"Product Manager",1.2106711748558965,6
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Jobs,"Project Manager",1.1832749029087815,7
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Jobs,"Food Server",1.151103264527659,8
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Jobs,"Community Manager",1.137950512250416,9
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Jobs,"Marketing Manager",1.1287327547530581,10
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Jobs,"Key Account Manager",1.0731377259980868,11
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Skills,"Adobe Illustrator",-1,1
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Skills,"Negotiation",-1,2
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Skills,"Sales Management",-1,3
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Skills,"Merchandising",-1,4
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Skills,"Blogging",-1,5
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Skills,"Digital Marketing",-1,6
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Skills,"Store Management",-1,7
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Skills,"Online Advertising",-1,8
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Skills,"Quality Control",-1,9
2020-10-01,es,"Spain","All","Consumer Goods",Top Trending Skills,"Laboratory Skills",-1,10
