date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-03-01,es,"Spain","All","Retail",Top Trending Employers,"Leroy Merlin",3.142773666614296,1
2021-03-01,es,"Spain","All","Retail",Top Trending Employers,"MANGO",3.025896682720074,2
2021-03-01,es,"Spain","All","Retail",Top Trending Employers,"DIA Group",5.108297928378982,3
2021-03-01,es,"Spain","All","Retail",Top Trending Employers,"Inditex",1.391319987530591,4
2021-03-01,es,"Spain","All","Retail",Top Trending Employers,"Lidl España",2.3012273877803815,5
2021-03-01,es,"Spain","All","Retail",Top Trending Employers,"El Corte Inglés",0.7708145854681104,6
2021-03-01,es,"Spain","All","Retail",Top Trending Jobs,"Cashier",9.34604036699474,1
2021-03-01,es,"Spain","All","Retail",Top Trending Jobs,"Salesperson",5.967747376249909,2
2021-03-01,es,"Spain","All","Retail",Top Trending Skills,"Negotiation",-1,1
2021-03-01,es,"Spain","All","Retail",Top Trending Skills,"Teamwork",-1,2
2021-03-01,es,"Spain","All","Retail",Top Trending Skills,"Customer Support",-1,3
