date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Employers,"Amazon",15.601715448568829,1
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Employers,"Webhelp",8.974766906296484,2
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Employers,"Autodesk",12.619888614838484,3
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Jobs,"Software Engineer",2.853156569381766,1
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Jobs,"Project Manager",1.9994021104562147,2
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Jobs,"Professor",1.297796426015493,3
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Jobs,"Account Manager",1.0603985557459898,4
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Jobs,"Sales Manager",0.9810854551620898,5
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Jobs,"Full Stack Engineer",0.9685190087123728,6
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Jobs,"Frontend Developer",0.967572827351122,7
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Jobs,"Customer Service Representative",0.9438835358182261,8
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Jobs,"Product Manager",0.8846993837351811,9
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Jobs,"Teacher",0.8766851042998702,10
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Jobs,"Community Manager",0.8641587006889723,11
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Jobs,"Architect",0.8248569229639766,12
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Jobs,"Psychologist",0.7902707377951962,13
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Jobs,"Nurse",0.7513223569190006,14
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Jobs,"Graphic Designer",0.7454485822321772,15
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Jobs,"Food Server",0.7248011354658622,16
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Jobs,"Salesperson",0.7215503621217739,17
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Skills,"Teaching",-1,1
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Skills,"JavaScript",-1,2
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Skills,"Java",-1,3
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Skills,"Adobe Illustrator",-1,4
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Skills,"Architectural Design",-1,5
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Skills,"Negotiation",-1,6
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Skills,"Psychotherapy",-1,7
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Skills,"Sales Management",-1,8
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Skills,"Nursing",-1,9
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Skills,"Git",-1,10
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Skills,"Account Management",-1,11
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Skills,"Node.js",-1,12
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Skills,"Blogging",-1,13
2020-06-01,es,"Spain","Greater Barcelona Metropolitan Area","All",Top Trending Skills,"SASS",-1,14
