date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,se,"Sweden","All","Construction",Top Trending Employers,"NCC",1.9247820448459296,1
2020-09-01,se,"Sweden","All","Construction",Top Trending Jobs,"Project Manager",12.37397872727036,1
2020-09-01,se,"Sweden","All","Construction",Top Trending Jobs,"Project Engineer",4.548867071987595,2
2020-09-01,se,"Sweden","All","Construction",Top Trending Jobs,"Salesperson",3.7983284652822675,3
2020-09-01,se,"Sweden","All","Construction",Top Trending Jobs,"Location Manager",3.083332439729728,4
2020-09-01,se,"Sweden","All","Construction",Top Trending Jobs,"Construction Engineer",2.716000074540644,5
2020-09-01,se,"Sweden","All","Construction",Top Trending Skills,"Project Management",-1,1
2020-09-01,se,"Sweden","All","Construction",Top Trending Skills,"Project Planning",-1,2
2020-09-01,se,"Sweden","All","Construction",Top Trending Skills,"Business-to-Business (B2B)",-1,3
2020-09-01,se,"Sweden","All","Construction",Top Trending Skills,"Project Engineering",-1,4
