date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Employers,"arcus-utbildning-&-jobbförmedling",47.52302653400701,1
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Employers,"PwC Sweden",3.6998337520152256,2
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Employers,"KPMG Sweden",5.785552333494263,3
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Employers,"Deloitte",4.336664279566479,4
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Employers,"Grant Thornton Sweden",5.277041578646072,5
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Jobs,"Audit Associate",7.280333223633571,1
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Jobs,"Management Consultant",4.002379321464013,2
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Jobs,"Project Manager",3.5149312624183784,3
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Jobs,"Salesperson",3.324862092627151,4
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Jobs,"Job Coach",2.5183894348446043,5
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Jobs,"Recruitment Consultant",2.4796688023006315,6
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Jobs,"Accountant",2.354534093583883,7
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Skills,"Project Management",-1,1
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Skills,"Project Planning",-1,2
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Skills,"Business-to-Business (B2B)",-1,3
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Skills,"Financial Reporting",-1,4
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Skills,"Change Management",-1,5
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Skills,"Management Consulting",-1,6
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Skills,"Recruiting",-1,7
2021-02-01,se,"Sweden","All","Corporate Services",Top Trending Skills,"Auditing",-1,8
