date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-04-01,se,"Sweden","All","Health Care",Top Trending Employers,"Karolinska University Hospital",1.4525770761933747,1
2021-04-01,se,"Sweden","All","Health Care",Top Trending Employers,"Karolinska University Hospital",1.397318540491952,2
2021-04-01,se,"Sweden","All","Health Care",Top Trending Jobs,"Nurse",5.266041226718892,1
2021-04-01,se,"Sweden","All","Health Care",Top Trending Jobs,"Nurse",4.990838001729485,2
2021-04-01,se,"Sweden","All","Health Care",Top Trending Jobs,"Psychologist",3.789958417516114,3
2021-04-01,se,"Sweden","All","Health Care",Top Trending Skills,"Psychological Assessment",-1,1
2021-04-01,se,"Sweden","All","Health Care",Top Trending Skills,"Psychological Assessment",-1,2
2021-04-01,se,"Sweden","All","Health Care",Top Trending Skills,"Nursing",-1,3
2021-04-01,se,"Sweden","All","Health Care",Top Trending Skills,"Nursing",-1,4
2021-04-01,se,"Sweden","All","Health Care",Top Trending Skills,"Nursing",-1,5
2021-04-01,se,"Sweden","All","Health Care",Top Trending Skills,"Nursing",-1,6
