date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Employers,"Swedbank",6.577055471451748,1
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Employers,"Stockholms stad",3.7199647590389677,2
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Employers,"Klarna",14.279259838681021,3
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Employers,"Spotify",9.4753616209182,4
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Employers,"SEB",3.591822399049148,5
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Employers,"Scania Group",2.296989883473888,6
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Employers,"Ericsson",2.033965728939747,7
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Employers,"Avarn Security Sverige",38.81880177044147,8
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Employers,"H&M",2.9773095123234903,9
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Employers,"KTH Royal Institute of Technology",4.764145685212054,10
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Employers,"ICA Gruppen",7.206717263053205,11
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Employers,"Karolinska Institutet",2.631522034830741,12
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Employers,"Länsförsäkringar",5.109700868465273,13
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Employers,"Karolinska University Hospital",2.5369119753722646,14
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Employers,"Stockholm Health Care Services (SLSO)",6.326517150680513,15
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Jobs,"Project Manager",3.931315595285402,1
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Jobs,"Software Engineer",3.1681571358844662,2
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Jobs,"Salesperson",2.1101210183068346,4
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Jobs,"Key Account Manager",1.2375476010376087,5
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Jobs,"Teacher",1.2352855172307946,6
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Jobs,"Account Manager",1.1883863506351344,7
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Jobs,"Sales Manager",1.0912263768639878,8
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Jobs,"System Developer",0.9254313428178035,9
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Jobs,"Nurse",0.8824831867351625,10
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Jobs,"Financial Accountant",0.8135846488373563,11
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Jobs,"Business Controller",0.7265410761873927,12
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Jobs,"Product Manager",0.6876282036453262,13
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Jobs,"Accountant",0.6612697606899327,14
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Jobs,"Product Owner",0.5813700337771575,15
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Jobs,"Information Technology Consultant",0.5688864127526769,16
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Jobs,"Chief Financial Officer",0.5656509057014699,17
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Jobs,"Business Analyst",0.5211669379748751,18
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Jobs,"Frontend Developer",0.5110833483294921,19
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Jobs,"Management Consultant",0.5026243743969505,20
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,"Project Management",-1,1
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,"Project Planning",-1,2
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,"Teaching",-1,3
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,"Git",-1,4
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,"Sales Management",-1,5
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,"Business-to-Business (B2B)",-1,6
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,"C#",-1,7
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,".NET Framework",-1,8
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,"Change Management",-1,9
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,"Product Development",-1,10
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,"Sales Process",-1,11
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,"Pedagogy",-1,12
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,"Active Directory",-1,13
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,"Financial Reporting",-1,14
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,"React.js",-1,15
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,"Scrum",-1,16
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,"Management Consulting",-1,17
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,"Agile Methodologies",-1,18
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,"Accounts Payable",-1,19
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","All",Top Trending Skills,"Forecasting",-1,20
