date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","Software & IT Services",Top Trending Employers,"Ericsson",2.1397276439771917,1
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","Software & IT Services",Top Trending Jobs,"Software Engineer",7.466956582408741,1
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","Software & IT Services",Top Trending Jobs,"Project Manager",3.858686607749008,2
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","Software & IT Services",Top Trending Jobs,"Information Technology Consultant",2.463143167286358,3
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","Software & IT Services",Top Trending Jobs,"System Developer",2.3026301520642147,4
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","Software & IT Services",Top Trending Jobs,"Account Manager",2.2415104167498248,5
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","Software & IT Services",Top Trending Jobs,"Key Account Manager",2.157820788766213,6
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","Software & IT Services",Top Trending Skills,"Project Management",-1,1
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","Software & IT Services",Top Trending Skills,"Project Planning",-1,2
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","Software & IT Services",Top Trending Skills,"Git",-1,3
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","Software & IT Services",Top Trending Skills,"Business-to-Business (B2B)",-1,4
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","Software & IT Services",Top Trending Skills,"C#",-1,5
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","Software & IT Services",Top Trending Skills,"Sales Management",-1,6
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","Software & IT Services",Top Trending Skills,".NET Framework",-1,7
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","Software & IT Services",Top Trending Skills,"Sales Process",-1,8
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","Software & IT Services",Top Trending Skills,"Active Directory",-1,9
2020-01-01,se,"Sweden","Stockholm Metropolitan Area","Software & IT Services",Top Trending Skills,"Scrum",-1,10
