date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-03-01,ch,"Switzerland","All","Education",Top Trending Employers,"ETH Zürich",7.162632101718397,1
2020-03-01,ch,"Switzerland","All","Education",Top Trending Employers,"University of Zurich",6.549289509406142,2
2020-03-01,ch,"Switzerland","All","Education",Top Trending Employers,"EPFL (École polytechnique fédérale de Lausanne)",5.537656665174043,3
2020-03-01,ch,"Switzerland","All","Education",Top Trending Employers,"University of Geneva",5.222359575194258,4
2020-03-01,ch,"Switzerland","All","Education",Top Trending Employers,"University of Bern",7.704083605434181,5
2020-03-01,ch,"Switzerland","All","Education",Top Trending Employers,"CERN",3.373142160456738,6
2020-03-01,ch,"Switzerland","All","Education",Top Trending Employers,"University of Basel",6.954868922873217,7
2020-03-01,ch,"Switzerland","All","Education",Top Trending Employers,"University of Lausanne - UNIL",5.532915657989517,8
2020-03-01,ch,"Switzerland","All","Education",Top Trending Employers,"University of Applied Sciences and Arts Northwestern Switzerland FHNW",7.936248425582564,9
2020-03-01,ch,"Switzerland","All","Education",Top Trending Employers,"University of St.Gallen",8.413585799173388,10
2020-03-01,ch,"Switzerland","All","Education",Top Trending Employers,"ZHAW Zurich University of Applied Sciences",6.955720418578669,11
2020-03-01,ch,"Switzerland","All","Education",Top Trending Employers,"Lucerne University of Applied Sciences and Arts",6.5747513507746245,12
2020-03-01,ch,"Switzerland","All","Education",Top Trending Jobs,"Lecturer",16.521510547154413,1
2020-03-01,ch,"Switzerland","All","Education",Top Trending Jobs,"Postdoctoral Researcher",14.026589064598735,2
2020-03-01,ch,"Switzerland","All","Education",Top Trending Jobs,"Teacher",5.622401630938204,3
2020-03-01,ch,"Switzerland","All","Education",Top Trending Jobs,"Professor",4.472308360772782,4
2020-03-01,ch,"Switzerland","All","Education",Top Trending Jobs,"Scientific Officer",2.5794494871948013,5
2020-03-01,ch,"Switzerland","All","Education",Top Trending Skills,"Teaching",-1,1
2020-03-01,ch,"Switzerland","All","Education",Top Trending Skills,"Change Management",-1,2
2020-03-01,ch,"Switzerland","All","Education",Top Trending Skills,"Scientific Writing",-1,3
2020-03-01,ch,"Switzerland","All","Education",Top Trending Skills,"Research",-1,4
