date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-04-01,ch,"Switzerland","All","Manufacturing",Top Trending Employers,"ABB",3.4581747278832826,1
2020-04-01,ch,"Switzerland","All","Manufacturing",Top Trending Employers,"AMAG Group",6.144096340455762,2
2020-04-01,ch,"Switzerland","All","Manufacturing",Top Trending Jobs,"Project Manager",5.123640834674239,1
2020-04-01,ch,"Switzerland","All","Manufacturing",Top Trending Jobs,"Project Control Manager",2.7157613741812177,2
2020-04-01,ch,"Switzerland","All","Manufacturing",Top Trending Jobs,"Software Engineer",2.3558011999596835,3
2020-04-01,ch,"Switzerland","All","Manufacturing",Top Trending Jobs,"Product Manager",2.122993268182465,4
2020-04-01,ch,"Switzerland","All","Manufacturing",Top Trending Jobs,"Sales Manager",2.117329033110963,5
2020-04-01,ch,"Switzerland","All","Manufacturing",Top Trending Skills,"Project Management",-1,1
2020-04-01,ch,"Switzerland","All","Manufacturing",Top Trending Skills,"Java",-1,2
2020-04-01,ch,"Switzerland","All","Manufacturing",Top Trending Skills,"Change Management",-1,3
2020-04-01,ch,"Switzerland","All","Manufacturing",Top Trending Skills,"Sales Management",-1,4
2020-04-01,ch,"Switzerland","All","Manufacturing",Top Trending Skills,"Product Development",-1,5
2020-04-01,ch,"Switzerland","All","Manufacturing",Top Trending Skills,"Project Leadership",-1,6
