date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,ch,"Switzerland","All","Corporate Services",Top Trending Employers,"Amt für Wirtschaft und Arbeit, Kanton Zürich",28.110169778613702,1
2020-09-01,ch,"Switzerland","All","Corporate Services",Top Trending Employers,"KPMG Switzerland",6.544943621557728,2
2020-09-01,ch,"Switzerland","All","Corporate Services",Top Trending Employers,"Deloitte Switzerland",4.93575560545356,3
2020-09-01,ch,"Switzerland","All","Corporate Services",Top Trending Employers,"PwC Switzerland",3.0143886504161896,4
2020-09-01,ch,"Switzerland","All","Corporate Services",Top Trending Jobs,"Project Manager",5.181648974412434,1
2020-09-01,ch,"Switzerland","All","Corporate Services",Top Trending Jobs,"Clerical Officer",3.663407874248667,2
2020-09-01,ch,"Switzerland","All","Corporate Services",Top Trending Jobs,"Project Control Manager",2.7601005791622977,3
2020-09-01,ch,"Switzerland","All","Corporate Services",Top Trending Skills,"Project Management",-1,1
2020-09-01,ch,"Switzerland","All","Corporate Services",Top Trending Skills,"Change Management",-1,2
2020-09-01,ch,"Switzerland","All","Corporate Services",Top Trending Skills,"Project Leadership",-1,3
