date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Employers,"Credit Suisse",2.300684440012177,1
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Employers,"UBS",1.0556505166323171,2
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Employers,"AXA",2.9391057329960737,3
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Employers,"Groupe Mutuel",7.709213777466964,4
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Employers,"Raiffeisen Switzerland",3.4597537302207404,5
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Employers,"PostFinance",3.9469944458800215,6
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Employers,"Helsana Insurance Company Ltd",5.441953901365324,7
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Employers,"Julius Baer",2.4104231262252362,8
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Employers,"Die Mobiliar",2.997750231288904,9
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Employers,"Assura",10.5347265775023,10
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Employers,"Zürcher Kantonalbank",2.298661992796751,11
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Jobs,"Customer Advisor",5.160387122980992,1
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Jobs,"Financial Advisor",3.5759675676593163,2
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Jobs,"Insurance Advisor",3.3242977825863806,3
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Jobs,"Project Manager",2.4205263887316897,4
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Jobs,"Software Engineer",2.246852917947507,5
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Jobs,"Business Analyst",2.0978988022676095,6
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Jobs,"Relationship Manager",1.9526944193119622,7
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Skills,"Project Management",-1,1
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Skills,"Java",-1,2
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Skills,"Change Management",-1,3
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Skills,"Business Analysis",-1,4
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Skills,"Private Banking",-1,5
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Skills,"Financial Markets",-1,6
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Skills,"Insurance",-1,7
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Skills,"Client Counseling",-1,8
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Skills,"Requirements Engineering",-1,9
2021-05-01,ch,"Switzerland","All","Finance",Top Trending Skills,"Assurance",-1,10
