date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Employers,"UBS",2.808660303419527,1
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Employers,"ETH Zürich",4.849853168992624,2
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Employers,"Credit Suisse",2.202804526534055,3
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Employers,"University of Zurich",5.0584099468226364,4
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Employers,"Swisscom",4.203088483820505,5
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Employers,"Zürcher Kantonalbank",4.265391525986771,6
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Employers,"Universitätsspital Zürich",5.709631785996967,7
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Employers,"Amt für Wirtschaft und Arbeit, Kanton Zürich",32.81413045935166,8
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Employers,"Swiss Life",11.188692724864605,9
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Employers,"Swiss Re",3.1185901192013326,10
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Employers,"Julius Baer",3.7694100353467377,11
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Employers,"AXA",3.750020214686672,12
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Employers,"SIX",5.242174509046414,13
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Jobs,"Software Engineer",3.493372088693817,1
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Jobs,"Project Manager",3.1381704027588406,2
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Jobs,"Project Control Manager",2.744571060793818,3
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Jobs,"Clerical Officer",2.4352870786401604,4
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Jobs,"Sales Manager",1.457688202838679,6
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Jobs,"Product Manager",1.4293371049313517,7
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Jobs,"System Engineer",1.199260083947529,8
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Jobs,"Lecturer",1.177064102115278,9
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Jobs,"Key Account Manager",1.0614816044214574,10
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Jobs,"Teacher",0.9579376549447625,11
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Jobs,"Business Analyst",0.9156244745019628,12
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Jobs,"Account Manager",0.7592852072460936,13
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Jobs,"Postdoctoral Researcher",0.7359360770962328,14
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Jobs,"Sales Consultant",0.7157269221310442,15
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Jobs,"Member Of The Board Of Advisors",0.6763238224045075,16
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Jobs,"Customer Advisor",0.6063185834501568,17
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Jobs,"Head Of Marketing",0.5984962816376133,18
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Jobs,"Head Of Sales",0.5698218934079935,19
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Jobs,"Marketing Manager",0.5373624656869994,20
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Skills,"Project Management",-1,1
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Skills,"Java",-1,2
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Skills,"Teaching",-1,3
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Skills,"Change Management",-1,4
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Skills,"Sales Management",-1,5
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Skills,"Product Development",-1,6
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Skills,"Account Management",-1,7
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Skills,"Windows Server",-1,8
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Skills,"Business Analysis",-1,9
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Skills,"Marketing Strategy",-1,10
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Skills,"Virtualization",-1,11
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Skills,"Scientific Writing",-1,12
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Skills,"Project Leadership",-1,13
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Skills,"Negotiation",-1,14
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Skills,"Client Counseling",-1,15
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Skills,"Solution Selling",-1,16
2020-08-01,ch,"Switzerland","Greater Zurich Area","All",Top Trending Skills,"Requirements Engineering",-1,17
