date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-03-01,ae,"United Arab Emirates","All","Health Care",Top Trending Employers,"Dubai Health Authority",6.686115363167228,1
2020-03-01,ae,"United Arab Emirates","All","Health Care",Top Trending Employers,"NMC Healthcare",5.4578219111048485,2
2020-03-01,ae,"United Arab Emirates","All","Health Care",Top Trending Employers,"Mediclinic Middle East",5.860659466842972,3
2020-03-01,ae,"United Arab Emirates","All","Health Care",Top Trending Employers,"American Hospital Dubai",13.679047755283793,4
2020-03-01,ae,"United Arab Emirates","All","Health Care",Top Trending Employers,"Pure Health",25.938205305359237,5
2020-03-01,ae,"United Arab Emirates","All","Health Care",Top Trending Employers,"Burjeel Hospital",7.557832105366975,6
2020-03-01,ae,"United Arab Emirates","All","Health Care",Top Trending Employers,"Aster DM Healthcare",3.8931825343251667,7
2020-03-01,ae,"United Arab Emirates","All","Health Care",Top Trending Employers,"King's College Hospital London – UAE",10.186510065183151,8
2020-03-01,ae,"United Arab Emirates","All","Health Care",Top Trending Jobs,"Nurse",15.699532815673212,1
2020-03-01,ae,"United Arab Emirates","All","Health Care",Top Trending Jobs,"Medical Sales Representative",3.036011525637064,2
2020-03-01,ae,"United Arab Emirates","All","Health Care",Top Trending Jobs,"Pharmacist",2.6971587766873424,3
2020-03-01,ae,"United Arab Emirates","All","Health Care",Top Trending Jobs,"General Practitioner",2.4010424207752017,4
2020-03-01,ae,"United Arab Emirates","All","Health Care",Top Trending Jobs,"Medical Coder",2.148622464687738,5
2020-03-01,ae,"United Arab Emirates","All","Health Care",Top Trending Skills,"Pharmacy",-1,1
2020-03-01,ae,"United Arab Emirates","All","Health Care",Top Trending Skills,"Nursing",-1,2
2020-03-01,ae,"United Arab Emirates","All","Health Care",Top Trending Skills,"Basic Life Support (BLS)",-1,3
2020-03-01,ae,"United Arab Emirates","All","Health Care",Top Trending Skills,"Pharmaceutical Sales",-1,4
2020-03-01,ae,"United Arab Emirates","All","Health Care",Top Trending Skills,"Sales Effectiveness",-1,5
2020-03-01,ae,"United Arab Emirates","All","Health Care",Top Trending Skills,"Medical Coding",-1,6
