date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-04-01,ae,"United Arab Emirates","All","Corporate Services",Top Trending Employers,"Expo 2020 Dubai",8.226842712558934,1
2020-04-01,ae,"United Arab Emirates","All","Corporate Services",Top Trending Employers,"Deloitte",4.365593959696113,2
2020-04-01,ae,"United Arab Emirates","All","Corporate Services",Top Trending Employers,"PwC Middle East",6.580212296157456,3
2020-04-01,ae,"United Arab Emirates","All","Corporate Services",Top Trending Jobs,"Accountant",3.58285755636009,1
2020-04-01,ae,"United Arab Emirates","All","Corporate Services",Top Trending Jobs,"Auditor",2.6006598130565868,2
2020-04-01,ae,"United Arab Emirates","All","Corporate Services",Top Trending Jobs,"Sales Manager",2.2713708282633673,3
2020-04-01,ae,"United Arab Emirates","All","Corporate Services",Top Trending Jobs,"Sales Executive",2.1710448821383554,4
2020-04-01,ae,"United Arab Emirates","All","Corporate Services",Top Trending Jobs,"Business Development Manager",2.064311307332591,5
2020-04-01,ae,"United Arab Emirates","All","Corporate Services",Top Trending Jobs,"Project Manager",1.8223488272679487,6
2020-04-01,ae,"United Arab Emirates","All","Corporate Services",Top Trending Skills,"Account Reconciliation",-1,1
2020-04-01,ae,"United Arab Emirates","All","Corporate Services",Top Trending Skills,"Accounts Payable",-1,2
2020-04-01,ae,"United Arab Emirates","All","Corporate Services",Top Trending Skills,"Sales Management",-1,3
2020-04-01,ae,"United Arab Emirates","All","Corporate Services",Top Trending Skills,"Project Planning",-1,4
2020-04-01,ae,"United Arab Emirates","All","Corporate Services",Top Trending Skills,"Team Leadership",-1,5
2020-04-01,ae,"United Arab Emirates","All","Corporate Services",Top Trending Skills,"Construction Management",-1,6
2020-04-01,ae,"United Arab Emirates","All","Corporate Services",Top Trending Skills,"Auditing",-1,7
2020-04-01,ae,"United Arab Emirates","All","Corporate Services",Top Trending Skills,"External Audit",-1,8
