date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Employers,"DAMAC Properties",8.390850056582881,1
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Employers,"ADNOC Group",1.6401704119559533,2
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Employers,"Majid Al Futtaim",3.0883665728598295,3
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Employers,"Landmark Group",3.6230364303904534,4
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Employers,"Al-Futtaim",2.592067372456642,5
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Employers,"Emirates NBD",1.9986168374401907,6
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Employers,"Square Yards",21.622423638907375,7
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Employers,"Expo 2020 Dubai",8.080962114766644,8
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Employers,"Etisalat",1.335137435366083,9
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Employers,"ADIB - Abu Dhabi Islamic Bank",2.620666321459259,10
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Employers,"talabat",12.83420092497814,11
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Employers,"Atlantis Resorts",10.793423510394872,12
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Employers,"PwC Middle East",5.971069013980497,13
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Employers,"Jumeirah Group / Jumeirah Hotels & Resorts",2.050848256625385,14
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Employers,"Dubai Health Authority",2.9878255777681075,15
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Employers,"Transguard Group",2.466154027555312,16
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Jobs,"Business Development Manager",2.2670674232910097,1
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Jobs,"Sales Executive",2.177871145760802,2
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Jobs,"Sales Manager",2.1664593512418597,3
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Jobs,"Accountant",2.1111255467336085,4
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Jobs,"Project Manager",1.5223003058675868,5
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Jobs,"Salesperson",1.2917167029906291,6
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Jobs,"Chef",1.2623588077614658,7
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Jobs,"Account Manager",1.1685554186395477,8
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Jobs,"Software Engineer",1.1251543546644618,9
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Jobs,"Business Development Executive",0.9737642323783834,10
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Jobs,"Customer Service Representative",0.9447045119157665,11
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Jobs,"Nurse",0.8563427772609717,12
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Jobs,"Operations Manager",0.848227589134871,13
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Jobs,"Marketing Manager",0.8467756934277328,14
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Jobs,"Marketing Executive",0.7993138967205016,15
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Jobs,"General Manager",0.7762430720692901,16
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Jobs,"Property Consultant",0.7413263690568005,17
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Jobs,"Graphic Designer",0.7302976655899186,18
2021-05-01,ae,"United Arab Emirates","All","All",Top Trending Jobs,"Account Executive",0.7033559823359342,19
