date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-06-01,ae,"United Arab Emirates","All","Finance",Top Trending Employers,"Emirates NBD",1.8184564280308395,1
2021-06-01,ae,"United Arab Emirates","All","Finance",Top Trending Employers,"Al Ansari Exchange",6.297691051919699,2
2021-06-01,ae,"United Arab Emirates","All","Finance",Top Trending Employers,"ADIB - Abu Dhabi Islamic Bank",2.219925924476315,3
2021-06-01,ae,"United Arab Emirates","All","Finance",Top Trending Jobs,"Relationship Manager",4.81256271562965,1
2021-06-01,ae,"United Arab Emirates","All","Finance",Top Trending Jobs,"Business Development Manager",3.2854375735030765,2
2021-06-01,ae,"United Arab Emirates","All","Finance",Top Trending Jobs,"Sales Executive",2.7721493247164184,3
2021-06-01,ae,"United Arab Emirates","All","Finance",Top Trending Jobs,"Financial Advisor",2.2713790533688583,4
2021-06-01,ae,"United Arab Emirates","All","Finance",Top Trending Jobs,"Relationship Officer",2.011477995594616,5
2021-06-01,ae,"United Arab Emirates","All","Finance",Top Trending Jobs,"Business Development Executive",1.8817385737215868,6
2021-06-01,ae,"United Arab Emirates","All","Finance",Top Trending Jobs,"Accountant",1.8321828370033484,7
2021-06-01,ae,"United Arab Emirates","All","Finance",Top Trending Skills,"Account Reconciliation",-1,1
2021-06-01,ae,"United Arab Emirates","All","Finance",Top Trending Skills,"Accounts Payable",-1,2
2021-06-01,ae,"United Arab Emirates","All","Finance",Top Trending Skills,"Sales Management",-1,3
2021-06-01,ae,"United Arab Emirates","All","Finance",Top Trending Skills,"Team Leadership",-1,4
2021-06-01,ae,"United Arab Emirates","All","Finance",Top Trending Skills,"Business Relationship Management",-1,5
