date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"NHS",3.8588177942478534,1
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"Amazon",7.49569019525564,2
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"HSBC",2.6964282409527756,3
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"Sky",5.869099146154176,4
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"Sainsbury's",4.308961989420621,5
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"Network Rail",4.126984193558271,6
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"BAE Systems",6.020905769998375,7
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"Tesco",2.604006916332818,8
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"Lloyds Banking Group",1.9260648534492226,9
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"UCL",4.661000511039889,10
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"Deloitte",4.5263308320414914,11
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"PwC",2.8145350606412594,12
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"UK Ministry of Defence",6.8228908081280615,13
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"Facebook",10.371402019056239,14
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"Marks and Spencer",4.364152362171094,15
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"University of Oxford",4.913719999301059,16
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"Vodafone",3.855751308918572,17
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"King's College London",5.429764117387624,18
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"BBC",2.7673441320671186,19
2020-02-01,gb,"United Kingdom","All","All",Top Trending Employers,"Imperial College London",5.248128101908896,20
2020-02-01,gb,"United Kingdom","All","All",Top Trending Jobs,"Project Manager",2.1298093328617616,1
2020-02-01,gb,"United Kingdom","All","All",Top Trending Jobs,"Software Engineer",1.9101237532092596,2
2020-02-01,gb,"United Kingdom","All","All",Top Trending Jobs,"Account Manager",1.5952348109675514,3
