date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Employers,"Freshfields Bruckhaus Deringer",6.749237805641261,1
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Employers,"DWF",5.660069614470445,2
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Employers,"Irwin Mitchell",5.667161668067487,3
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Employers,"Crown Prosecution Service",11.054194929507577,4
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Employers,"Addleshaw Goddard",6.2697469235927255,5
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Employers,"DAC Beachcroft LLP",5.769028827163324,6
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Employers,"Allen & Overy",4.701412618631254,7
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Employers,"DLA Piper",4.528507555426472,8
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Employers,"Knights plc",11.927156627239226,9
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Employers,"Government Legal Department",7.375457359617707,10
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Employers,"Ashurst",6.712630462952037,11
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Employers,"Aspiring Solicitors",15.876833420568367,12
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Employers,"Pinsent Masons",3.464689285326208,13
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Employers,"Dentons",5.694558086333098,14
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Employers,"Clyde & Co",4.134021084461495,15
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Employers,"Shoosmiths",5.794028287911839,16
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Jobs,"Solicitor",17.576901691402707,1
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Jobs,"Paralegal",16.984245058346758,2
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Jobs,"Legal Associate",3.9575935869836836,3
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Jobs,"Lawyer",3.399259654593993,4
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Jobs,"Barrister",2.9775390657137306,5
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Jobs,"Legal Secretary",2.9396771353410527,6
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Jobs,"Business Development Manager",1.4208212391797548,7
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Jobs,"Litigation Paralegal",1.1940258417966017,8
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Jobs,"Legal Advisor",0.9287322545889747,9
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Jobs,"Legal Director",0.9101651681763604,10
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Jobs,"Project Manager",0.7889082899578144,11
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Jobs,"Human Resources Advisor",0.7643456793577422,12
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Jobs,"Corporate Associate",0.7444550084246568,13
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Jobs,"Secretary",0.719441741697194,14
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Jobs,"Receptionist",0.6862095373055902,15
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Skills,"Stakeholder Management",-1,1
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Skills,"Project Delivery",-1,2
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Skills,"Legal Advice",-1,3
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Skills,"Account Management",-1,4
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Skills,"Time Management",-1,5
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Skills,"Receptionist Duties",-1,6
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Skills,"Legal Research",-1,7
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Skills,"Employee Relations",-1,8
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Skills,"HR Policies",-1,9
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Skills,"Litigation",-1,10
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Skills,"Diary Management",-1,11
2020-03-01,gb,"United Kingdom","All","Legal",Top Trending Skills,"Company Secretarial Work",-1,12
