date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"Jacobs",9.868432288296484,1
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"Balfour Beatty plc",4.165710344843457,2
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"Amey",4.853279427959137,3
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"Kier Group",4.597822713407839,4
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"Mott MacDonald",4.072001071652703,5
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"Arcadis",4.79319234099568,6
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"Berkeley Group Plc",9.688133670503813,7
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"Mace",3.6107114657191755,8
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"Costain Group PLC",5.013399826936237,9
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"Turner & Townsend",3.8358867266993597,10
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"Barratt Developments plc",5.798597182934914,11
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"KAEFER UK & Ireland",44.480970063794636,12
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"Howdens",3.994592462166424,13
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"Sir Robert McAlpine",5.708139022959836,14
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"NG Bailey",6.266344436390874,15
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"Persimmon Homes",5.405597124062202,16
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"Bellway Homes",6.730949751328767,17
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"Wates Group",4.312232839358875,18
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"Tarmac",3.448127889190288,19
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Employers,"BAM Nuttall Ltd",5.0648896310780875,20
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Jobs,"Project Manager",6.4926295823942395,1
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Jobs,"Quantity Surveyor",5.42213471330526,2
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Jobs,"Contract Manager",2.8268351256491053,3
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Jobs,"Sales Manager",2.2323450276876393,4
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Jobs,"Business Development Manager",1.7089404386372669,5
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Jobs,"Commercial Manager",1.5981678929881713,6
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Jobs,"Operations Manager",1.5961407258771199,7
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Jobs,"Site Engineer",1.4903446375281415,8
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Jobs,"Electrician",1.3024224910342563,9
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Jobs,"Civil Engineer",1.2735042329218766,10
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Jobs,"Sales Executive",1.1856164399527898,11
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Jobs,"Construction Manager",1.1110966474729056,12
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Jobs,"Construction Site Manager",1.0553225551918852,13
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Jobs,"Design Manager",0.950294883896399,14
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Jobs,"Office Manager",0.9291453928529463,15
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Jobs,"Manager Project Management",0.9143404560484439,16
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Jobs,"Director Of Operations",0.7762903879735409,17
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Jobs,"Scaffolder",0.7703321637858462,18
2020-04-01,gb,"United Kingdom","All","Construction",Top Trending Jobs,"Project Engineer",0.6831440789621791,19
