date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"PwC",2.75269740407994,1
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"Deloitte",3.6686311520929085,2
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"PwC UK",5.069153246013498,3
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"Deloitte UK",3.1665903943308717,4
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"BDO UK LLP",6.868504115588364,5
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"Mitie",4.610298745110354,6
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"KPMG UK",1.891666144547367,7
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"Sodexo",5.2113057751350045,8
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"Sitel",21.49385409349361,9
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"G4S",4.840096327404988,10
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"PA Consulting",5.2960911894427225,11
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"Environment Agency",2.8053421828710725,12
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"OCS Group UK",9.890352217680633,13
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"Grant Thornton UK LLP",3.0112515176536925,14
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"Interserve",3.3078236932113563,15
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"Webhelp",7.944790346852796,16
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"Mercer",4.206175869545024,17
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"Teleperformance",8.759255299062758,18
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"IHS Markit",5.030838668927586,19
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Employers,"FTI Consulting",9.37619285643367,20
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Project Manager",2.090446331349128,1
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Business Development Manager",1.8890868168868375,2
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Accountant",1.8395285759136282,3
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Account Manager",1.5887692139505485,4
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Security Officer",1.5513433789077369,5
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Operations Manager",1.3887917325866095,6
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Auditor",1.082692829778991,7
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Software Engineer",0.9234476962403424,8
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Director Of Development",0.8573695955857875,9
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Management Consultant",0.8208779397517857,10
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Human Resources Advisor",0.7982399742375862,11
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Marketing Executive",0.7783981133709847,12
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Marketing Manager",0.7674343564672245,13
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Sales Manager",0.7494522374236511,14
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Sales Executive",0.725751048269774,15
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Recruitment Consultant",0.6548007743405209,16
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Customer Service Representative",0.6488345567467085,17
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Customer Service Advisor",0.6351454960687455,18
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Business Analyst",0.5961578119345172,19
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Jobs,"Audit Manager",0.5913624300011671,20
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"Account Management",-1,1
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"Recruiting",-1,2
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"Sales Management",-1,3
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"JavaScript",-1,4
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"Operations Management",-1,5
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"Business Analysis",-1,6
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"Stakeholder Management",-1,7
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"Project Delivery",-1,8
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"Marketing Strategy",-1,9
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"Business-to-Business (B2B)",-1,10
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"Financial Accounting",-1,11
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"Contract Recruitment",-1,12
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"Change Management",-1,13
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"Digital Marketing",-1,14
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"Requirements Gathering",-1,15
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"Sales Process",-1,16
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"Email Marketing",-1,17
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"Time Management",-1,18
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"Employee Relations",-1,19
2020-04-01,gb,"United Kingdom","All","Corporate Services",Top Trending Skills,"HR Policies",-1,20
