date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Employers,"Network Rail",2.2442662800574156,1
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Employers,"Hermes",19.053112974611835,2
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Employers,"Royal Mail",2.430000043984947,3
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Employers,"Transport for London",1.3658501454879008,4
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Employers,"Clipper Logistics plc",17.230215680233457,5
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Employers,"DPD UK",8.322451454478168,6
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Employers,"Enterprise Flex-E-Rent",29.73653388724641,7
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Employers,"HS2 (High Speed Two) Ltd",4.219659781580569,8
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Employers,"SYSTRA",26.760726384564048,9
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Employers,"DHL",2.0304129406664067,10
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Jobs,"Project Manager",3.6481072882058596,1
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Jobs,"Warehouse Associate",3.561433121509918,2
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Jobs,"Driver",2.1854812021303807,3
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Jobs,"Operations Manager",2.111686092273086,4
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Jobs,"Truck Driver",1.8776326833426,5
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Jobs,"Courier",1.7505203423422557,6
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Jobs,"Delivery Driver",1.7314524150115325,7
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Jobs,"Software Engineer",1.4448694573524212,8
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Skills,"JavaScript",-1,1
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Skills,"Operations Management",-1,2
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Skills,"Stakeholder Management",-1,3
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Skills,"Project Delivery",-1,4
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Skills,"Change Management",-1,5
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Skills,"Truck Driving",-1,6
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Skills,"Time Management",-1,7
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Skills,"Warehouse Operations",-1,8
2020-06-01,gb,"United Kingdom","All","Transportation & Logistics",Top Trending Skills,"Forklift Operation",-1,9
