date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-07-01,gb,"United Kingdom","All","Real Estate",Top Trending Employers,"CBRE Global Workplace Solutions (GWS) EMEA",3.364517042257289,1
2020-07-01,gb,"United Kingdom","All","Real Estate",Top Trending Employers,"CBRE",1.7239951307636618,2
2020-07-01,gb,"United Kingdom","All","Real Estate",Top Trending Jobs,"Property Manager",5.927072555083105,1
2020-07-01,gb,"United Kingdom","All","Real Estate",Top Trending Jobs,"Sales Negotiator",4.755783967466559,2
2020-07-01,gb,"United Kingdom","All","Real Estate",Top Trending Jobs,"Real Estate Rental Agent",4.535943185131417,3
2020-07-01,gb,"United Kingdom","All","Real Estate",Top Trending Jobs,"Sales Manager",2.161355014128994,4
2020-07-01,gb,"United Kingdom","All","Real Estate",Top Trending Jobs,"Property Consultant",2.056363530463154,5
2020-07-01,gb,"United Kingdom","All","Real Estate",Top Trending Jobs,"Project Manager",1.9146479248041717,6
2020-07-01,gb,"United Kingdom","All","Real Estate",Top Trending Skills,"Sales Management",-1,1
2020-07-01,gb,"United Kingdom","All","Real Estate",Top Trending Skills,"Account Management",-1,2
2020-07-01,gb,"United Kingdom","All","Real Estate",Top Trending Skills,"Project Delivery",-1,3
2020-07-01,gb,"United Kingdom","All","Real Estate",Top Trending Skills,"Stakeholder Management",-1,4
2020-07-01,gb,"United Kingdom","All","Real Estate",Top Trending Skills,"Property Management",-1,5
2020-07-01,gb,"United Kingdom","All","Real Estate",Top Trending Skills,"Lettings",-1,6
2020-07-01,gb,"United Kingdom","All","Real Estate",Top Trending Skills,"Residential Real Estate",-1,7
2020-07-01,gb,"United Kingdom","All","Real Estate",Top Trending Skills,"Investment Properties",-1,8
