date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Employers,"Department for Work and Pensions (DWP)",6.13680112548864,1
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Employers,"HM Revenue & Customs",4.2904475653574226,2
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Employers,"Ministry of Justice UK",7.1633542407247255,3
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Employers,"Cabinet Office",11.25684896639431,4
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Employers,"UK Home Office",6.691132270250547,5
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Employers,"UK Civil Service",6.965620800149094,6
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Employers,"Department for Business, Energy and Industrial Strategy (BEIS)",8.152812069048561,7
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Employers,"Department for Education",4.59595650428571,8
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Employers,"Her Majesty's Prison and Probation Service (HMPPS)",4.969250146791428,9
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Employers,"Department for Digital, Culture, Media and Sport (DCMS)",14.280415697885582,10
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Employers,"Department for Transport (DfT), United Kingdom",8.523514496544674,11
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Employers,"Department for Environment, Food and Rural Affairs",4.813615333761581,12
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Employers,"Surrey County Council",5.858249651893659,13
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Employers,"The Scottish Government",3.2505846023899214,14
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Employers,"House of Commons",4.740371922246816,15
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Employers,"HM Courts & Tribunals Service (HMCTS)",7.09644405769594,16
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Employers,"Hampshire County Council",3.9796053410414998,17
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Employers,"HM Treasury",6.6616750489907535,18
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Employers,"Shared Services Connected Ltd",13.351062707136913,19
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Policy Advisor",4.602462455537704,1
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Project Manager",2.899518034319791,2
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Civil Servant",2.543161610134558,3
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Social Worker",2.1843898383567226,4
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Case Manager",2.167239945907896,5
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Support Associate",2.0668142543280634,6
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Administrative Officer",2.0547139036056006,7
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Teacher",1.964755486913123,8
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Primary School Teacher",1.4395361006291185,9
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Business Analyst",1.2600305704360397,10
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Caseworker",1.2507251608767433,11
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Program Manager",1.1129086705805211,12
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Communications Officer",1.0751338054487727,13
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Business Support Officer",0.9577434722713826,14
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Secretary",0.8917275854710585,15
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Software Engineer",0.8200595029468077,16
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Policy Officer",0.8197204569807385,17
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Planning Officer",0.7319246562313111,18
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Service Officer",0.7317162946601,19
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Jobs,"Economist",0.6611997018565932,20
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Skills,"Teaching",-1,1
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Skills,"JavaScript",-1,2
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Skills,"Business Analysis",-1,3
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Skills,"Stakeholder Management",-1,4
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Skills,"Project Delivery",-1,5
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Skills,"Curriculum Development",-1,6
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Skills,"Requirements Gathering",-1,7
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Skills,"Program Management",-1,8
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Skills,"Mental Health",-1,9
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Skills,"Social Services",-1,10
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Skills,"Social Work",-1,11
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Skills,"Public Policy",-1,12
2020-08-01,gb,"United Kingdom","All","Public Administration",Top Trending Skills,"Administration",-1,13
