date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,gb,"United Kingdom","All","Design",Top Trending Employers,"Atkins",2.055007265572239,1
2020-09-01,gb,"United Kingdom","All","Design",Top Trending Jobs,"Architect",7.48250086222387,1
2020-09-01,gb,"United Kingdom","All","Design",Top Trending Jobs,"Interior Designer",4.7724570751656525,2
2020-09-01,gb,"United Kingdom","All","Design",Top Trending Jobs,"Graphic Designer",4.645454558881896,3
2020-09-01,gb,"United Kingdom","All","Design",Top Trending Jobs,"Project Manager",3.7494493355837912,4
2020-09-01,gb,"United Kingdom","All","Design",Top Trending Jobs,"Architectural Technologist",2.7683136190880866,5
2020-09-01,gb,"United Kingdom","All","Design",Top Trending Jobs,"Creative Director",2.458397778854643,6
2020-09-01,gb,"United Kingdom","All","Design",Top Trending Jobs,"Account Manager",1.7114729078945174,7
2020-09-01,gb,"United Kingdom","All","Design",Top Trending Skills,"Account Management",-1,1
2020-09-01,gb,"United Kingdom","All","Design",Top Trending Skills,"Stakeholder Management",-1,2
2020-09-01,gb,"United Kingdom","All","Design",Top Trending Skills,"Project Delivery",-1,3
2020-09-01,gb,"United Kingdom","All","Design",Top Trending Skills,"Business-to-Business (B2B)",-1,4
2020-09-01,gb,"United Kingdom","All","Design",Top Trending Skills,"Logo Design",-1,5
2020-09-01,gb,"United Kingdom","All","Design",Top Trending Skills,"Architectural Design",-1,6
2020-09-01,gb,"United Kingdom","All","Design",Top Trending Skills,"Art Direction",-1,7
2020-09-01,gb,"United Kingdom","All","Design",Top Trending Skills,"Interior Design",-1,8
2020-09-01,gb,"United Kingdom","All","Design",Top Trending Skills,"Brand Development",-1,9
2020-09-01,gb,"United Kingdom","All","Design",Top Trending Skills,"Space Planning",-1,10
2020-09-01,gb,"United Kingdom","All","Design",Top Trending Skills,"Construction Drawings",-1,11
