date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"UCL",6.867057893364565,1
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"King's College London",5.4887704758651115,2
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"The University of Edinburgh",6.843123203259218,3
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"University of Oxford",4.255523301747588,4
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"University of Bristol",6.777515842313036,5
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"University of Cambridge",4.707629919462308,6
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"Imperial College London",4.640703948657468,7
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"MyTutor.co.uk",20.04013922918698,8
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"The University of Manchester",4.575033406983191,9
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"University of Exeter",7.34104211057254,10
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"University of Leeds",4.7353826000055195,11
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"University of Glasgow",6.732759217700993,12
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"University of Nottingham",5.006934770134562,13
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"Queen Mary University of London",7.139357997399383,14
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"The Open University",6.230108574898885,15
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"Explore Learning",21.39315575340316,16
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"The University of Sheffield",4.721943165897465,17
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"The London School of Economics and Political Science (LSE)",8.394430445048853,18
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"Teach First",8.43988476852463,19
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Employers,"University of Bath",8.006004347145309,20
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Jobs,"Teacher",11.067059352382486,1
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Jobs,"Lecturer",9.282169307936957,2
2020-09-01,gb,"United Kingdom","All","Education",Top Trending Jobs,"Postdoctoral Researcher",2.4966066904289788,3
