date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Amazon",15.628266099067783,1
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Facebook",11.374022334989094,2
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Amazon Web Services (AWS)",17.45935360344327,3
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Serco",8.600848409190176,4
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"THG",15.833057236466072,5
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Capgemini",3.5398948931275904,6
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Microsoft",3.7009936166895905,7
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"DXC Technology",3.244071843553188,8
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"ASOS.com",5.761395313898201,9
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Accenture",1.931992874071247,10
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Deliveroo",7.8634482359759295,11
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Just Eat Takeaway.com",11.855123730320356,12
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Softcat plc",8.176649775649397,13
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Concentrix",9.025168155646526,14
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Uber",8.802691365033429,15
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Ordnance Survey",14.820121270584261,16
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Kubrick Group",23.689309156619192,17
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Thales",2.8762387105578116,18
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"Atos",2.5035719956711127,19
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Employers,"The Access Group",6.446340152520139,20
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Software Engineer",8.379201149854634,1
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Account Manager",2.3453355193419214,2
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Project Manager",2.2189727069377128,3
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Business Development Manager",1.8186771111020374,4
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Business Analyst",1.1271332520592914,5
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Product Manager",1.087815539995739,6
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Account Executive",0.9861316449306123,7
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Marketing Manager",0.9723894127394529,8
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Solutions Architect",0.8069103942801504,9
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Customer Success Manager",0.7909328454134948,10
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Sales Development Representative",0.778412704212585,11
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Fulfillment Associate",0.7562703006462134,12
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Data Scientist",0.7405407351004972,13
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Full Stack Engineer",0.7211245987600224,14
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Sales Director",0.7106650506969567,15
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Business Development Executive",0.7095940259739881,16
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Frontend Developer",0.6883406885885653,17
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Marketing Executive",0.6789223018006457,18
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Program Manager",0.6734062151342227,19
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Jobs,"Web Developer",0.6697423320421652,20
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Account Management",-1,1
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"JavaScript",-1,2
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Business Analysis",-1,3
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Stakeholder Management",-1,4
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Project Delivery",-1,5
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Marketing Strategy",-1,6
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Business-to-Business (B2B)",-1,7
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Digital Marketing",-1,8
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Requirements Gathering",-1,9
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Cascading Style Sheets (CSS)",-1,10
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Program Management",-1,11
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Web Development",-1,12
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Sales Management",-1,13
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Email Marketing",-1,14
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Product Development",-1,15
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Solution Architecture",-1,16
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Machine Learning",-1,17
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"Data Science",-1,18
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"React.js",-1,19
2020-09-01,gb,"United Kingdom","All","Software & IT Services",Top Trending Skills,"SASS",-1,20
