date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Employers,"Vodafone",1.99395401510561,1
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Employers,"Virgin Media",3.0658650888043306,2
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Employers,"CityFibre",14.327861946726738,3
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Employers,"Liberty Global",15.205086982838964,4
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Employers,"O2 (Telefónica UK)",2.2900614572364635,5
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Employers,"Three UK",3.693358013656319,6
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Employers,"Arm",2.2623529848921557,7
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Employers,"EE",1.5303853069766697,8
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Jobs,"Project Manager",3.6418850774281717,1
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Jobs,"Software Engineer",3.16266717162354,2
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Jobs,"Business Development Manager",2.6260721604179587,3
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Jobs,"Account Manager",2.369032073248816,4
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Jobs,"Telecommunications Engineer",1.8922553117538237,5
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Jobs,"Sales Manager",1.4394376219239111,6
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Jobs,"Program Manager",1.4391467505974043,7
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Jobs,"Sales Executive",1.3583996046304205,8
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Jobs,"Customer Advisor",1.3027346896964445,9
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Skills,"Account Management",-1,1
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Skills,"Sales Management",-1,2
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Skills,"JavaScript",-1,3
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Skills,"Stakeholder Management",-1,4
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Skills,"Project Delivery",-1,5
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Skills,"Business-to-Business (B2B)",-1,6
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Skills,"Sales Process",-1,7
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Skills,"Program Management",-1,8
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Skills,"Time Management",-1,9
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Skills,"Telecommunications",-1,10
2021-01-01,gb,"United Kingdom","All","Hardware & Networking",Top Trending Skills,"Telecommunications Engineering",-1,11
