date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,gb,"United Kingdom","Greater Bristol Area, United Kingdom","All",Top Trending Employers,"University of Bristol",3.449894246458303,1
2020-09-01,gb,"United Kingdom","Greater Bristol Area, United Kingdom","All",Top Trending Employers,"Hargreaves Lansdown",7.084505363323952,2
2020-09-01,gb,"United Kingdom","Greater Bristol Area, United Kingdom","All",Top Trending Jobs,"Software Engineer",2.8727195499465865,1
2020-09-01,gb,"United Kingdom","Greater Bristol Area, United Kingdom","All",Top Trending Jobs,"Project Manager",2.592225463239431,2
2020-09-01,gb,"United Kingdom","Greater Bristol Area, United Kingdom","All",Top Trending Jobs,"Account Manager",1.540765214858526,3
2020-09-01,gb,"United Kingdom","Greater Bristol Area, United Kingdom","All",Top Trending Skills,"Account Management",-1,1
2020-09-01,gb,"United Kingdom","Greater Bristol Area, United Kingdom","All",Top Trending Skills,"JavaScript",-1,2
2020-09-01,gb,"United Kingdom","Greater Bristol Area, United Kingdom","All",Top Trending Skills,"Stakeholder Management",-1,3
2020-09-01,gb,"United Kingdom","Greater Bristol Area, United Kingdom","All",Top Trending Skills,"Project Delivery",-1,4
2020-09-01,gb,"United Kingdom","Greater Bristol Area, United Kingdom","All",Top Trending Skills,"Business-to-Business (B2B)",-1,5
