date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Employers,"The University of Edinburgh",6.390372498212928,1
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Employers,"The Scottish Government",5.957257004060196,2
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Employers,"Amazon",17.282307636697205,3
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Employers,"Phoenix Group",29.24603452187261,4
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Employers,"Heriot-Watt University",6.86820644619733,5
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Employers,"Sky",6.812638837870209,6
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Employers,"Lloyds Banking Group",1.909802852748813,7
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Employers,"The City of Edinburgh Council",3.864712347185135,8
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Employers,"Sainsbury's Bank",8.748290959827902,9
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Jobs,"Software Engineer",3.8882078304220946,1
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Jobs,"Project Manager",2.647651700453943,2
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Jobs,"Business Analyst",1.501582933668038,3
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Jobs,"Customer Service Representative",1.0449242771748104,4
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Skills,"JavaScript",-1,1
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Skills,"Business Analysis",-1,2
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Skills,"Stakeholder Management",-1,3
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Skills,"Project Delivery",-1,4
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Skills,"Requirements Gathering",-1,5
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Skills,"Time Management",-1,6
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Skills,"Strategy",-1,7
2020-11-01,gb,"United Kingdom","Greater Edinburgh Area","All",Top Trending Skills,"Change Management",-1,8
