date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-02-01,gb,"United Kingdom","London Area, United Kingdom","Software & IT Services",Top Trending Employers,"Amazon",9.083823863996793,1
2020-02-01,gb,"United Kingdom","London Area, United Kingdom","Software & IT Services",Top Trending Employers,"Facebook",10.201373917990919,2
2020-02-01,gb,"United Kingdom","London Area, United Kingdom","Software & IT Services",Top Trending Employers,"Accenture",3.682659580753552,3
2020-02-01,gb,"United Kingdom","London Area, United Kingdom","Software & IT Services",Top Trending Employers,"Amazon Web Services (AWS)",10.419670577045157,4
2020-02-01,gb,"United Kingdom","London Area, United Kingdom","Software & IT Services",Top Trending Employers,"Deliveroo",13.348792852413963,5
2020-02-01,gb,"United Kingdom","London Area, United Kingdom","Software & IT Services",Top Trending Employers,"Microsoft",6.549838249261909,6
2020-02-01,gb,"United Kingdom","London Area, United Kingdom","Software & IT Services",Top Trending Employers,"ASOS.com",5.484497582315338,7
2020-02-01,gb,"United Kingdom","London Area, United Kingdom","Software & IT Services",Top Trending Employers,"Capgemini",4.293800990501921,8
2020-02-01,gb,"United Kingdom","London Area, United Kingdom","Software & IT Services",Top Trending Employers,"Visa",6.260675005859853,9
2020-02-01,gb,"United Kingdom","London Area, United Kingdom","Software & IT Services",Top Trending Employers,"Expedia Group",5.105357421820578,10
2020-02-01,gb,"United Kingdom","London Area, United Kingdom","Software & IT Services",Top Trending Employers,"Kubrick Group",20.020708232276924,11
2020-02-01,gb,"United Kingdom","London Area, United Kingdom","Software & IT Services",Top Trending Employers,"OneTrust",33.81607103881421,12
2020-02-01,gb,"United Kingdom","London Area, United Kingdom","Software & IT Services",Top Trending Employers,"Thomson Reuters",3.650248727578416,13
2020-02-01,gb,"United Kingdom","London Area, United Kingdom","Software & IT Services",Top Trending Employers,"Skyscanner",23.177035038317875,14
2020-02-01,gb,"United Kingdom","London Area, United Kingdom","Software & IT Services",Top Trending Jobs,"Software Engineer",7.275454193644687,1
2020-02-01,gb,"United Kingdom","London Area, United Kingdom","Software & IT Services",Top Trending Jobs,"Account Manager",2.1247375897783582,2
2020-02-01,gb,"United Kingdom","London Area, United Kingdom","Software & IT Services",Top Trending Jobs,"Project Manager",1.848666602952398,3
2020-02-01,gb,"United Kingdom","London Area, United Kingdom","Software & IT Services",Top Trending Jobs,"Account Executive",1.6889037130019813,4
2020-02-01,gb,"United Kingdom","London Area, United Kingdom","Software & IT Services",Top Trending Jobs,"Business Development Manager",1.566653058534168,5
