date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Jobs,"Account Manager",6.0793500526430435,1
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Jobs,"Writer",4.217244457229298,2
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Jobs,"Editor",3.7937482157474647,3
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Jobs,"Account Executive",3.785773322825012,4
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Jobs,"Project Manager",2.703427161288484,5
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Jobs,"Account Director",2.654006682186507,6
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Jobs,"Creative Director",1.5967713816176992,7
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Jobs,"Copywriter",1.3504682417786364,8
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Jobs,"Business Development Manager",1.3273478851407803,9
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Jobs,"Content Writer",1.0969033967390565,10
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Skills,"Account Management",-1,1
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Skills,"Writing",-1,2
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Skills,"Stakeholder Management",-1,3
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Skills,"Project Delivery",-1,4
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Skills,"Business-to-Business (B2B)",-1,5
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Skills,"Editing",-1,6
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Skills,"Creative Writing",-1,7
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Skills,"Copywriting",-1,8
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Skills,"Copy Editing",-1,9
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Skills,"Art Direction",-1,10
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Skills,"Digital Marketing",-1,11
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Skills,"Brand Development",-1,12
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Skills,"Web Content Writing",-1,13
2020-08-01,gb,"United Kingdom","London Area, United Kingdom","Media & Communications",Top Trending Skills,"Integrated Marketing",-1,14
