date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Employers,"Deloitte",2.115670573484185,1
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Employers,"KPMG UK",1.5292895367693264,2
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Employers,"Deloitte UK",1.614265141304243,3
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Employers,"Capgemini Invent",14.245844894175171,4
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Employers,"Sitel",36.212868710611495,5
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Employers,"PA Consulting",4.322671117940597,6
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Employers,"Mitie",6.894195962790849,7
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Employers,"PwC",0.7475939207864299,8
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Employers,"McKinsey & Company",3.6496106692943107,9
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Jobs,"Business Development Manager",2.9172881839182008,1
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Jobs,"Project Manager",1.8473813832937673,2
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Jobs,"Account Manager",1.7819440987027277,3
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Jobs,"Business Analyst",1.5678743407658822,4
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Jobs,"Customer Service Advisor",1.551317354439916,5
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Skills,"Account Management",-1,1
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Skills,"Business Analysis",-1,2
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Skills,"Stakeholder Management",-1,3
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Skills,"Project Delivery",-1,4
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Skills,"Business-to-Business (B2B)",-1,5
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Skills,"Requirements Gathering",-1,6
2020-12-01,gb,"United Kingdom","London Area, United Kingdom","Corporate Services",Top Trending Skills,"Time Management",-1,7
