date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-01,gb,"United Kingdom","London Area, United Kingdom","Health Care",Top Trending Employers,"NHS",2.234864314094782,1
2021-05-01,gb,"United Kingdom","London Area, United Kingdom","Health Care",Top Trending Employers,"GSK",1.9860262445829988,2
2021-05-01,gb,"United Kingdom","London Area, United Kingdom","Health Care",Top Trending Employers,"NHS England",3.43623812630848,3
2021-05-01,gb,"United Kingdom","London Area, United Kingdom","Health Care",Top Trending Employers,"Public Health England",6.574555285549072,4
2021-05-01,gb,"United Kingdom","London Area, United Kingdom","Health Care",Top Trending Employers,"IQVIA",4.74860477562088,5
2021-05-01,gb,"United Kingdom","London Area, United Kingdom","Health Care",Top Trending Employers,"Guy's and St Thomas'​ NHS Foundation Trust",1.5064644559149396,6
2021-05-01,gb,"United Kingdom","London Area, United Kingdom","Health Care",Top Trending Employers,"King's College Hospital NHS Foundation Trust",2.5598761334199955,7
2021-05-01,gb,"United Kingdom","London Area, United Kingdom","Health Care",Top Trending Employers,"St George's University Hospitals NHS Foundation Trust",2.9408770967399676,8
2021-05-01,gb,"United Kingdom","London Area, United Kingdom","Health Care",Top Trending Employers,"ProPharma Group",107.06241065361952,9
2021-05-01,gb,"United Kingdom","London Area, United Kingdom","Health Care",Top Trending Employers,"Barts Health NHS Trust",1.6005954479379045,10
2021-05-01,gb,"United Kingdom","London Area, United Kingdom","Health Care",Top Trending Jobs,"Support Associate",2.3119358947260285,1
2021-05-01,gb,"United Kingdom","London Area, United Kingdom","Health Care",Top Trending Jobs,"Nurse",1.5962703451085085,2
2021-05-01,gb,"United Kingdom","London Area, United Kingdom","Health Care",Top Trending Jobs,"Psychologist",1.5934111595841158,3
2021-05-01,gb,"United Kingdom","London Area, United Kingdom","Health Care",Top Trending Jobs,"Project Manager",1.5519399998433252,4
2021-05-01,gb,"United Kingdom","London Area, United Kingdom","Health Care",Top Trending Skills,"Stakeholder Management",-1,1
2021-05-01,gb,"United Kingdom","London Area, United Kingdom","Health Care",Top Trending Skills,"Project Delivery",-1,2
2021-05-01,gb,"United Kingdom","London Area, United Kingdom","Health Care",Top Trending Skills,"Nursing",-1,3
2021-05-01,gb,"United Kingdom","London Area, United Kingdom","Health Care",Top Trending Skills,"Mental Health",-1,4
2021-05-01,gb,"United Kingdom","London Area, United Kingdom","Health Care",Top Trending Skills,"Support Workers",-1,5
