date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-10-31,us,"United States","Albany, New York Metropolitan Area","All",Top Trending Employers,"Regeneron",4.370398900146985,1
2020-10-31,us,"United States","Albany, New York Metropolitan Area","All",Top Trending Jobs,"Real Estate Agent",2.1300682329993226,1
2020-10-31,us,"United States","Albany, New York Metropolitan Area","All",Top Trending Jobs,"Software Engineer",1.9390474637481943,2
2020-10-31,us,"United States","Albany, New York Metropolitan Area","All",Top Trending Jobs,"Project Manager",1.9132010097246819,3
2020-10-31,us,"United States","Albany, New York Metropolitan Area","All",Top Trending Jobs,"Teacher",1.8429794278204454,4
2020-10-31,us,"United States","Albany, New York Metropolitan Area","All",Top Trending Jobs,"Nurse",1.7328798693451986,5
2020-10-31,us,"United States","Albany, New York Metropolitan Area","All",Top Trending Jobs,"Salesperson",1.6589945844386764,6
2020-10-31,us,"United States","Albany, New York Metropolitan Area","All",Top Trending Skills,"Teaching",-1,1
2020-10-31,us,"United States","Albany, New York Metropolitan Area","All",Top Trending Skills,"JavaScript",-1,2
2020-10-31,us,"United States","Albany, New York Metropolitan Area","All",Top Trending Skills,"Curriculum Development",-1,3
2020-10-31,us,"United States","Albany, New York Metropolitan Area","All",Top Trending Skills,"Investment Properties",-1,4
2020-10-31,us,"United States","Albany, New York Metropolitan Area","All",Top Trending Skills,"Working with First-Time Home Buyers",-1,5
2020-10-31,us,"United States","Albany, New York Metropolitan Area","All",Top Trending Skills,"Construction Management",-1,6
2020-10-31,us,"United States","Albany, New York Metropolitan Area","All",Top Trending Skills,"Nursing",-1,7
2020-10-31,us,"United States","Albany, New York Metropolitan Area","All",Top Trending Skills,"Basic Life Support (BLS)",-1,8
