date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"ExxonMobil",2.3168127694683296,1
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"Shell",2.387922477202979,2
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"Pacific Gas and Electric Company",4.033647950011033,3
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"Duke Energy Corporation",2.6518377021200012,4
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"Baker Hughes",3.4538436594931063,5
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"Marathon Petroleum Corporation",3.8449432716122556,6
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"Wood",4.631011611495571,7
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"bp",2.810982271416003,8
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"Dominion Energy",3.794087412362521,9
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"Xcel Energy",4.6043425415974335,10
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"Ameren",6.24372194386382,11
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"Southern California Edison (SCE)",4.17378726527877,12
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"Exelon",3.9436868076351828,13
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"Energy Transfer",5.280562581604208,14
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"Entergy",2.977309734049991,15
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"Phillips 66",2.85154411242318,16
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"National Grid",3.367418071007522,17
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"Occidental",3.188615202880286,18
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"American Electric Power",2.8624649299126306,19
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Employers,"Schlumberger",1.4207572513694624,20
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"Project Manager",2.658237003513803,1
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"Accountant",1.920549360003293,2
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"Software Engineer",1.26566127848733,3
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"Account Manager",1.2641694264801553,4
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"Operations Manager",1.1797917949149734,5
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"Sales Manager",1.015277138119468,6
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"Customer Service Representative",0.976214843372251,7
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"Project Engineer",0.9008505932860027,8
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"Financial Analyst",0.857823858211899,9
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"Business Development Manager",0.8510939520584463,10
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"Business Analyst",0.8043946248747282,11
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"Electrical Engineer",0.7894921054324572,12
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"Mechanical Engineer",0.7693238746086527,13
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"Salesperson",0.7641726574636459,14
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"General Manager",0.7009847506485759,15
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"Geologist",0.6165380839328777,16
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"Field Engineer",0.5922166100758512,17
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"Process Engineer",0.5872277172223799,18
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"Human Resources Administrator",0.5310556892684292,19
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Jobs,"Buyer",0.5006046508915187,20
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"JavaScript",-1,1
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"Account Management",-1,2
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"Sales Management",-1,3
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"Team Building",-1,4
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"Operations Management",-1,5
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"Construction Management",-1,6
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"Account Reconciliation",-1,7
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"Business Analysis",-1,8
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"Sales Operations",-1,9
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"Inventory Management",-1,10
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"Financial Analysis",-1,11
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"General Ledger",-1,12
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"Customer Satisfaction",-1,13
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"Financial Reporting",-1,14
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"Software Development Life Cycle (SDLC)",-1,15
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"SOLIDWORKS",-1,16
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"Process Engineering",-1,17
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"Geology",-1,18
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"Geological Mapping",-1,19
2019-12-31,us,"United States","All","Energy & Mining",Top Trending Skills,"Onboarding",-1,20
