date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"United States Attorneys'​ Offices",3.668272437538006,1
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"LegalShield",6.4510411110088945,2
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"Sidley Austin LLP",4.187532087934205,3
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"Kirkland & Ellis",2.857278899579987,4
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"Lewis Brisbois",4.923956591565261,5
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"Perkins Coie LLP",4.354389510214968,6
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"Epiq",2.9373412014407534,7
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"Greenberg Traurig, LLP",3.240768279718615,8
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"Holland & Knight LLP",4.368061006204011,9
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"Latham & Watkins",2.536225777949148,10
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"Morgan & Morgan, P.A.",5.410602426890162,11
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"McDermott Will & Emery",4.812606364284831,12
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"Phi Alpha Delta Law Fraternity, International",20.197684386668325,13
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"Wilson Elser",5.453666380237468,14
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"Willkie Farr & Gallagher LLP",9.017330519834578,15
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"Wilson Sonsini Goodrich & Rosati",4.9347664737913775,16
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"Polsinelli",4.699516999603841,17
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"Cole, Scott & Kissane, P.A.",10.507931491903218,18
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"Proskauer Rose LLP",5.455862806712728,19
2020-05-01,us,"United States","All","Legal",Top Trending Employers,"Morgan, Lewis & Bockius LLP",2.039280559276766,20
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"Attorney",29.587913526305964,1
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"Law Clerk",10.350575592812268,2
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"Paralegal",9.212086702718857,3
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"Lawyer",3.8977367541652588,4
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"Legal Associate",3.107824163347639,5
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"Litigation Paralegal",2.1637874290684587,6
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"Trial Attorney",1.1467686190694075,7
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"Legal Secretary",1.1298193359054536,8
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"Editor",1.0521508622879965,9
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"Litigation Associate",0.9420896871989153,10
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"Case Manager",0.900127994519505,11
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"Office Manager",0.7976853610818617,12
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"Project Manager",0.7210427156806056,13
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"Legal Advisor",0.6012108760055355,14
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"Managing Partner",0.5973680549482355,15
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"Public Defender",0.5792963608894334,16
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"Receptionist",0.47938019836164647,17
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"Immigration Paralegal",0.46263576243247173,18
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"District Attorney",0.4262238290802163,19
2020-05-01,us,"United States","All","Legal",Top Trending Jobs,"Notary Public",0.41812461870357615,20
2020-05-01,us,"United States","All","Legal",Top Trending Skills,"Legal Writing",-1,1
2020-05-01,us,"United States","All","Legal",Top Trending Skills,"Construction Management",-1,2
2020-05-01,us,"United States","All","Legal",Top Trending Skills,"Civil Litigation",-1,3
2020-05-01,us,"United States","All","Legal",Top Trending Skills,"Editing",-1,4
2020-05-01,us,"United States","All","Legal",Top Trending Skills,"Office Administration",-1,5
2020-05-01,us,"United States","All","Legal",Top Trending Skills,"Writing",-1,6
2020-05-01,us,"United States","All","Legal",Top Trending Skills,"Legal Research",-1,7
2020-05-01,us,"United States","All","Legal",Top Trending Skills,"QuickBooks",-1,8
2020-05-01,us,"United States","All","Legal",Top Trending Skills,"Case Management",-1,9
2020-05-01,us,"United States","All","Legal",Top Trending Skills,"Strategic Planning",-1,10
2020-05-01,us,"United States","All","Legal",Top Trending Skills,"Community Outreach",-1,11
2020-05-01,us,"United States","All","Legal",Top Trending Skills,"Data Entry",-1,12
2020-05-01,us,"United States","All","Legal",Top Trending Skills,"Team Building",-1,13
2020-05-01,us,"United States","All","Legal",Top Trending Skills,"Receptionist Duties",-1,14
2020-05-01,us,"United States","All","Legal",Top Trending Skills,"Litigation",-1,15
2020-05-01,us,"United States","All","Legal",Top Trending Skills,"Legal Advice",-1,16
2020-05-01,us,"United States","All","Legal",Top Trending Skills,"Trials",-1,17
2020-05-01,us,"United States","All","Legal",Top Trending Skills,"Criminal Law",-1,18
2020-05-01,us,"United States","All","Legal",Top Trending Skills,"Immigration Law",-1,19
