date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"Amazon",12.741975273044995,1
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"Amazon Web Services (AWS)",12.91048205570465,2
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"Microsoft",5.1775948497582664,3
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"Facebook",9.204076027704623,4
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"DoorDash",31.508252672768975,5
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"Instacart",24.95984906903684,6
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"Oracle",3.297572919259846,7
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"Accenture",2.055396518701078,8
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"Booz Allen Hamilton",4.125440116331713,9
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"Shipt",17.154633406112346,10
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"SAIC",5.529931818840775,11
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"Cerner Corporation",3.948603153338888,12
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"VMware",5.105782244728545,13
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"FIS",6.064257732781556,14
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"ServiceNow",7.712367294106251,15
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"Uber",2.7689425104707945,16
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"Zoom",30.03863061808013,17
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"General Dynamics Information Technology",4.48641795628941,18
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"Epic",6.676250837112711,19
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Employers,"Outschool",92.9928633988103,20
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"Software Engineer",12.940296541740084,1
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"Account Executive",2.369902826829115,2
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"Delivery Driver",2.073965794001805,3
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"Product Manager",1.5760830643229085,4
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"Project Manager",1.5267922999305072,5
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"Account Manager",1.497397126874821,6
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"Program Manager",1.4305135958364417,7
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"Customer Success Manager",1.0062405276827935,8
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"Data Scientist",0.9667382279121058,9
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"Operations Manager",0.9263657803343412,10
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"Solutions Architect",0.9054924285557777,11
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"Fulfillment Associate",0.8669150382883637,12
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"Recruiter",0.844975224406235,13
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"Business Analyst",0.8151164723610915,14
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"System Engineer",0.7681193605055889,15
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"Warehouse Associate",0.7639274422192166,16
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"Business Development Representative",0.7347447210395013,17
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"Sales Development Representative",0.7251280781716328,18
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"Sales Director",0.6736349102138205,19
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Jobs,"Full Stack Engineer",0.6606010044460374,20
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"JavaScript",-1,1
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"Account Management",-1,2
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"Operations Management",-1,3
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"Team Building",-1,4
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"Recruiting",-1,5
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"Construction Management",-1,6
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"Program Management",-1,7
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"Business Analysis",-1,8
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"Interviewing",-1,9
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"Sales Management",-1,10
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"Cross-functional Team Leadership",-1,11
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"Software Development Life Cycle (SDLC)",-1,12
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"Systems Engineering",-1,13
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"Agile Methodologies",-1,14
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"Integration",-1,15
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"React.js",-1,16
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"Machine Learning",-1,17
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"Node.js",-1,18
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"Data Science",-1,19
2020-05-31,us,"United States","All","Software & IT Services",Top Trending Skills,"Solution Architecture",-1,20
