date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"Medium",17.574004262308858,1
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"The New York Times",5.765156287156121,2
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"Forbes",5.863716988704648,3
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"2020 Companies",16.268154332225546,4
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"Cision",11.570515135564483,5
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"LiveRamp",7.743094219322853,6
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"Public Relations Student Society of America (PRSSA)",12.991123435515057,7
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"Her Campus Media",6.004578267987697,8
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"FCB Health",6.8705790372447355,9
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"American Marketing Association",6.750414167235196,10
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"Wiley",3.713564457528075,11
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"Curriculum Associates",5.255629999398905,12
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"IRI",3.3997738288783976,13
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"RR Donnelley",1.7446150037752308,14
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"Hogarth Worldwide",8.4157898478885,15
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"FASTSIGNS®",5.123667077098397,16
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"QuinStreet",19.46065054664735,17
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"Best Version Media",5.507127281608395,18
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"Screen Rant",26.731327093625623,19
2020-06-30,us,"United States","All","Media & Communications",Top Trending Employers,"TRANZACT",14.615435011191904,20
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Writer",5.8441295289580015,1
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Editor",4.906873787290697,2
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Account Executive",3.556113403454226,3
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Account Manager",2.989933495769467,4
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Graphic Designer",2.3102628286817275,5
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Project Manager",2.148227419884117,6
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Copywriter",1.5843640362107603,7
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Creative Director",1.3825317752089763,8
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Software Engineer",1.3516210778529543,9
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Reporter",1.2904012286262476,10
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Social Media Manager",1.0763635793984259,11
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Art Director",1.0260964783636362,12
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Content Writer",0.920599855286534,13
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Marketing Manager",0.894297639562219,14
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Account Director",0.8755300281431775,15
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Salesperson",0.8152670610251032,16
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Account Coordinator",0.77684839894,17
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Marketing Director",0.7127346061391195,18
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Sales Director",0.6681607694233994,19
2020-06-30,us,"United States","All","Media & Communications",Top Trending Jobs,"Web Developer",0.6591259277286057,20
2020-06-30,us,"United States","All","Media & Communications",Top Trending Skills,"JavaScript",-1,1
2020-06-30,us,"United States","All","Media & Communications",Top Trending Skills,"Account Management",-1,2
2020-06-30,us,"United States","All","Media & Communications",Top Trending Skills,"Writing",-1,3
2020-06-30,us,"United States","All","Media & Communications",Top Trending Skills,"Editing",-1,4
2020-06-30,us,"United States","All","Media & Communications",Top Trending Skills,"Adobe Creative Suite",-1,5
2020-06-30,us,"United States","All","Media & Communications",Top Trending Skills,"Construction Management",-1,6
2020-06-30,us,"United States","All","Media & Communications",Top Trending Skills,"Social Media Marketing",-1,7
2020-06-30,us,"United States","All","Media & Communications",Top Trending Skills,"Marketing Strategy",-1,8
2020-06-30,us,"United States","All","Media & Communications",Top Trending Skills,"Sales Management",-1,9
2020-06-30,us,"United States","All","Media & Communications",Top Trending Skills,"Cascading Style Sheets (CSS)",-1,10
2020-06-30,us,"United States","All","Media & Communications",Top Trending Skills,"Social Media",-1,11
2020-06-30,us,"United States","All","Media & Communications",Top Trending Skills,"Art Direction",-1,12
2020-06-30,us,"United States","All","Media & Communications",Top Trending Skills,"Copywriting",-1,13
2020-06-30,us,"United States","All","Media & Communications",Top Trending Skills,"Journalism",-1,14
2020-06-30,us,"United States","All","Media & Communications",Top Trending Skills,"Web Content Writing",-1,15
2020-06-30,us,"United States","All","Media & Communications",Top Trending Skills,"News Writing",-1,16
2020-06-30,us,"United States","All","Media & Communications",Top Trending Skills,"Event Planning",-1,17
2020-06-30,us,"United States","All","Media & Communications",Top Trending Skills,"Integrated Marketing",-1,18
