date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"Jacobs",3.187634219130959,1
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"WSP USA",6.284343024829206,2
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"D.R. Horton",7.176919381149813,3
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"Kimley-Horn",6.379822656863293,4
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"Kiewit",2.5562007688441915,5
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"PulteGroup",7.081735540187478,6
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"NVR, Inc.",9.478925512175234,7
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"Turner Construction Company",2.074592519761933,8
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"DPR Construction",4.088553785563742,9
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"United Rentals",2.1822615506475174,10
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"Renewal by Andersen",6.196333679194163,11
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"ABC Supply Co. Inc.",4.803923339174386,12
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"EquipmentShare",12.738106458721447,13
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"Burns & McDonnell",1.5561988122574835,14
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"HNTB",2.2441637020987377,15
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"Michael Baker International",3.4128410084766423,16
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"Pella Corporation",5.535273995273014,17
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"Terracon",3.3035578679283923,18
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"Fluor Corporation",1.739912743834546,19
2020-10-31,us,"United States","All","Construction",Top Trending Employers,"Pike Corporation",6.96784420309175,20
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"Project Manager",13.368093890870108,1
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"Project Engineer",4.515112326885576,2
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"Salesperson",1.7180770742742917,3
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"Accountant",1.5055418391057158,4
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"Sales Manager",1.452327594420244,5
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"Account Manager",1.3506723486324745,6
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"Operations Manager",1.3120391316231121,7
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"Electrician",1.1921069940022588,8
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"Civil Engineer",1.1492133670332279,9
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"Office Manager",1.0923532210457547,10
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"Construction Manager",1.0701730580282653,11
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"Outside Sales Representative",1.012785691667274,12
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"Business Development Manager",1.0055929597484292,13
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"Field Engineer",0.9642736260567131,14
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"Foreman",0.8205602796784714,15
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"Carpenter",0.7866022837501827,16
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"Customer Service Representative",0.7567666638073429,17
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"Inside Sales Representative",0.747705423399823,18
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"Project Estimator",0.7340725336738009,19
2020-10-31,us,"United States","All","Construction",Top Trending Jobs,"General Manager",0.7293341276020472,20
2020-10-31,us,"United States","All","Construction",Top Trending Skills,"Account Management",-1,1
2020-10-31,us,"United States","All","Construction",Top Trending Skills,"Sales Management",-1,2
2020-10-31,us,"United States","All","Construction",Top Trending Skills,"Team Building",-1,3
2020-10-31,us,"United States","All","Construction",Top Trending Skills,"Operations Management",-1,4
2020-10-31,us,"United States","All","Construction",Top Trending Skills,"Construction Management",-1,5
2020-10-31,us,"United States","All","Construction",Top Trending Skills,"Account Reconciliation",-1,6
2020-10-31,us,"United States","All","Construction",Top Trending Skills,"Sales Operations",-1,7
2020-10-31,us,"United States","All","Construction",Top Trending Skills,"Inventory Management",-1,8
2020-10-31,us,"United States","All","Construction",Top Trending Skills,"Office Administration",-1,9
2020-10-31,us,"United States","All","Construction",Top Trending Skills,"General Ledger",-1,10
2020-10-31,us,"United States","All","Construction",Top Trending Skills,"Customer Satisfaction",-1,11
2020-10-31,us,"United States","All","Construction",Top Trending Skills,"QuickBooks",-1,12
2020-10-31,us,"United States","All","Construction",Top Trending Skills,"Electrical Wiring",-1,13
2020-10-31,us,"United States","All","Construction",Top Trending Skills,"Carpentry",-1,14
2020-10-31,us,"United States","All","Construction",Top Trending Skills,"Electrical Troubleshooting",-1,15
2020-10-31,us,"United States","All","Construction",Top Trending Skills,"Project Estimation",-1,16
2020-10-31,us,"United States","All","Construction",Top Trending Skills,"Outside Sales",-1,17
2020-10-31,us,"United States","All","Construction",Top Trending Skills,"Inside Sales",-1,18
2020-10-31,us,"United States","All","Construction",Top Trending Skills,"Stormwater Management",-1,19
