date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"Keller Williams Realty, Inc.",4.995923118010133,1
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"eXp Realty",11.536639299080933,2
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"Compass",7.780798252504695,3
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"Coldwell Banker",9.77296398262593,4
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"CBRE",2.4933868520084665,5
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"Berkshire Hathaway HomeServices",7.3742437199551105,6
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"Greystar",4.950827899900742,7
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"Cushman & Wakefield",3.562693471914444,8
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"Redfin",7.903302551993805,9
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"Realty ONE Group",7.119385988093549,10
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"RE/MAX",3.4025132615757734,11
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"CENTURY 21®",4.028333940625722,12
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"eXp Realty, LLC",6.823144254518998,13
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"Zillow",3.844556014404832,14
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"Weichert, Realtors",4.60024302977392,15
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"Lument",46.02966315502357,16
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"@properties",7.953126917254362,17
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"Coldwell Banker Residential Brokerage",1.6138145723617392,18
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"Lennar",4.084107207826318,19
2020-11-30,us,"United States","All","Real Estate",Top Trending Employers,"Fathom Realty",7.160319611238424,20
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"Real Estate Agent",43.038729542125004,1
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"Real Estate Broker",5.266558653093543,2
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"Property Manager",3.578104248982296,3
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"Community Manager",1.6917437658160746,4
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"Leasing Consultant",1.388048329653143,5
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"Real Estate Consultant",1.3177454962707862,6
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"Project Manager",1.0855731697541544,7
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"Accountant",1.0745288330911704,8
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"Salesperson",0.9351485475596577,9
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"Real Estate Broker Associate",0.8332554917915574,10
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"Realtor Sales Associate",0.6583741160876069,11
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"Escrow Officer",0.5583862834879603,12
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"Leasing Agent",0.5368060380867061,13
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"Marketing Coordinator",0.527819473539857,14
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"Transaction Coordinator",0.5161054961255294,15
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"General Manager",0.51378992337711,16
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"Construction Manager",0.5135303934020616,17
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"Marketing Director",0.48255229581302805,18
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"Operations Manager",0.46400672237962753,19
2020-11-30,us,"United States","All","Real Estate",Top Trending Jobs,"Software Engineer",0.45741940901455586,20
2020-11-30,us,"United States","All","Real Estate",Top Trending Skills,"JavaScript",-1,1
2020-11-30,us,"United States","All","Real Estate",Top Trending Skills,"Investment Properties",-1,2
2020-11-30,us,"United States","All","Real Estate",Top Trending Skills,"Working with First-Time Home Buyers",-1,3
2020-11-30,us,"United States","All","Real Estate",Top Trending Skills,"Team Building",-1,4
2020-11-30,us,"United States","All","Real Estate",Top Trending Skills,"Operations Management",-1,5
2020-11-30,us,"United States","All","Real Estate",Top Trending Skills,"Construction Management",-1,6
2020-11-30,us,"United States","All","Real Estate",Top Trending Skills,"Account Reconciliation",-1,7
2020-11-30,us,"United States","All","Real Estate",Top Trending Skills,"Inventory Management",-1,8
2020-11-30,us,"United States","All","Real Estate",Top Trending Skills,"General Ledger",-1,9
2020-11-30,us,"United States","All","Real Estate",Top Trending Skills,"Marketing Strategy",-1,10
2020-11-30,us,"United States","All","Real Estate",Top Trending Skills,"Social Media Marketing",-1,11
2020-11-30,us,"United States","All","Real Estate",Top Trending Skills,"Property Management",-1,12
2020-11-30,us,"United States","All","Real Estate",Top Trending Skills,"Real Estate Transactions",-1,13
2020-11-30,us,"United States","All","Real Estate",Top Trending Skills,"Apartments",-1,14
