date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-03-31,us,"United States","All","Design",Top Trending Employers,"HDR",1.6313495049654725,1
2021-03-31,us,"United States","All","Design",Top Trending Employers,"HDR",1.540538541482406,2
2021-03-31,us,"United States","All","Design",Top Trending Employers,"Stantec",1.0403889266944053,3
2021-03-31,us,"United States","All","Design",Top Trending Employers,"Stantec",0.9574581784564224,4
2021-03-31,us,"United States","All","Design",Top Trending Employers,"Gensler",1.4046978322248052,5
2021-03-31,us,"United States","All","Design",Top Trending Jobs,"Project Manager",8.863809759367868,1
2021-03-31,us,"United States","All","Design",Top Trending Jobs,"Project Manager",8.753950419535217,2
2021-03-31,us,"United States","All","Design",Top Trending Jobs,"Interior Designer",7.422797466836752,3
2021-03-31,us,"United States","All","Design",Top Trending Jobs,"Interior Designer",7.370745807554215,4
2021-03-31,us,"United States","All","Design",Top Trending Jobs,"Architectural Designer",6.37634651806305,5
2021-03-31,us,"United States","All","Design",Top Trending Jobs,"Architectural Designer",6.092291587254431,6
2021-03-31,us,"United States","All","Design",Top Trending Jobs,"Architect",5.097746574654282,7
2021-03-31,us,"United States","All","Design",Top Trending Jobs,"Architect",4.890608173415223,8
2021-03-31,us,"United States","All","Design",Top Trending Jobs,"Graphic Designer",3.351821340359768,9
2021-03-31,us,"United States","All","Design",Top Trending Jobs,"Project Architect",3.3332018907366567,10
2021-03-31,us,"United States","All","Design",Top Trending Jobs,"Project Architect",3.172168168688362,11
2021-03-31,us,"United States","All","Design",Top Trending Jobs,"Graphic Designer",3.0736317883566175,12
2021-03-31,us,"United States","All","Design",Top Trending Jobs,"Project Designer",2.1988821783602948,13
2021-03-31,us,"United States","All","Design",Top Trending Jobs,"Project Designer",2.1169966366101343,14
2021-03-31,us,"United States","All","Design",Top Trending Jobs,"Landscape Designer",1.832333059142275,15
2021-03-31,us,"United States","All","Design",Top Trending Jobs,"Marketing Coordinator",1.5763739703918545,16
2021-03-31,us,"United States","All","Design",Top Trending Jobs,"Marketing Coordinator",1.4764709916654548,17
2021-03-31,us,"United States","All","Design",Top Trending Jobs,"Landscape Designer",1.4584646189955581,18
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Adobe Creative Suite",-1,1
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Adobe Creative Suite",-1,2
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Adobe Creative Suite",-1,3
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Adobe Creative Suite",-1,4
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Construction Management",-1,5
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Construction Management",-1,6
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Construction Management",-1,7
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Construction Management",-1,8
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Social Media Marketing",-1,9
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Social Media Marketing",-1,10
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Social Media Marketing",-1,11
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Social Media Marketing",-1,12
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Interior Design",-1,13
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Interior Design",-1,14
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Interior Design",-1,15
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Interior Design",-1,16
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Space Planning",-1,17
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Space Planning",-1,18
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Architectural Design",-1,19
2021-03-31,us,"United States","All","Design",Top Trending Skills,"Space Planning",-1,20
