date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"U.S. Department of Veterans Affairs",1.8969997775673746,1
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"Maximus",6.925576365393322,2
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"U.S. Forest Service",6.280093261603706,3
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"National Park Service",9.154873070512458,4
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"United States Postal Service",1.2686631170683005,5
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"U.S. House of Representatives",5.543138622269642,6
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"FEMA",4.152097925570056,7
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"Centers for Disease Control and Prevention",3.2875705987577266,8
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"U.S. Department of Homeland Security",1.7532512125400548,9
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"U.S. Department of Health and Human Services (HHS)",4.444115331828415,10
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"United States Senate",6.545551970191749,11
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"FDA",2.060224928277172,12
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"US Environmental Protection Agency (EPA)",2.5709199641650944,13
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"U.S. Small Business Administration",3.894423435719801,14
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"USPTO",4.827926644319747,15
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"U.S. Department of Energy (DOE)",4.569761804078064,16
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"Commonwealth of Massachusetts",2.7750420620980583,17
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"NOAA: National Oceanic & Atmospheric Administration",3.553388418893778,18
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"U.S. Fish and Wildlife Service (USFWS)",5.781783113158009,19
2021-05-31,us,"United States","All","Public Administration",Top Trending Employers,"United Nations",1.6616613543641487,20
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Customer Service Representative",1.794515237738597,1
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Attorney",1.7883270201989903,2
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Law Clerk",1.6890293620314838,3
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Project Manager",1.6268212434862996,4
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Program Manager",1.1943455808711112,5
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Accountant",1.0735596652895758,6
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Park Ranger",0.8436013269002078,7
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Director Of Communications",0.8430413597204676,8
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Judicial Law Clerk",0.807989564481337,9
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Social Worker",0.7722657108857764,10
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Nurse",0.7240602535987336,11
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Office Associate",0.711400756828295,12
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Biological Science Technician",0.7102813207737176,13
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Policy Analyst",0.6879646166012567,14
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Data Analyst",0.687287553753372,15
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Emergency Manager",0.6707267884360096,16
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Auditor",0.6695373785181346,17
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Program Coordinator",0.6660264706944893,18
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Research Analyst",0.653036462914873,19
2021-05-31,us,"United States","All","Public Administration",Top Trending Jobs,"Firefighter",0.5921963750885203,20
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"Legal Writing",-1,1
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"Construction Management",-1,2
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"Program Management",-1,3
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"Civil Litigation",-1,4
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"Account Reconciliation",-1,5
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"General Ledger",-1,6
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"Data Analysis",-1,7
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"Customer Satisfaction",-1,8
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"Cross-functional Team Leadership",-1,9
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"Tableau",-1,10
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"Nursing",-1,11
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"Public Speaking",-1,12
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"Community Outreach",-1,13
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"Nonprofit Organizations",-1,14
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"Basic Life Support (BLS)",-1,15
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"Legal Research",-1,16
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"Firefighting",-1,17
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"Auditing",-1,18
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"Case Management",-1,19
2021-05-31,us,"United States","All","Public Administration",Top Trending Skills,"Event Planning",-1,20
