date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Employers,"The Home Depot",1.1579967771105326,1
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Employers,"Northside Hospital",1.4258868192313678,2
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Employers,"Delta Air Lines",0.8783508571780516,3
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Employers,"Microsoft",4.835767907507438,4
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Employers,"Keller Williams Realty, Inc.",2.3370794680429507,5
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Employers,"Georgia Institute of Technology",1.0894636894965348,6
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Employers,"The Coca-Cola Company",1.4936226664916576,7
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Employers,"Centers for Disease Control and Prevention",0.9977958783553679,8
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Employers,"OneTrust",6.916575213049263,9
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Employers,"Emory University",1.156996363158054,10
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Real Estate Agent",2.975739764080896,1
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Software Engineer",2.9041231214884093,2
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Account Executive",2.345761398333618,3
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Project Manager",2.1528104522926057,4
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Account Manager",1.8915199760112258,5
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Salesperson",1.5037849793593085,6
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Recruiter",1.2817047816293232,7
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Sales Director",0.9475490691674467,8
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Sales Manager",0.8960647062713486,9
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Nurse",0.8661592953074895,10
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Accountant",0.8614660866974411,11
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Business Development Representative",0.8015331616761802,12
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Product Manager",0.757372158673353,13
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Operations Manager",0.7506978098546402,14
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Financial Analyst",0.7148078760377241,15
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Customer Service Representative",0.6831675570957663,16
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Data Analyst",0.6576868442053488,17
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Program Manager",0.6496651090146146,18
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Business Development Manager",0.6482876461320125,19
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Jobs,"Attorney",0.6095131734721166,20
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Skills,"JavaScript",-1,1
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Skills,"Account Management",-1,2
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Skills,"Sales Management",-1,3
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Skills,"Investment Properties",-1,4
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Skills,"Working with First-Time Home Buyers",-1,5
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Skills,"Operations Management",-1,6
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Skills,"Team Building",-1,7
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Skills,"Legal Writing",-1,8
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Skills,"Recruiting",-1,9
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Skills,"Construction Management",-1,10
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Skills,"Program Management",-1,11
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Skills,"Civil Litigation",-1,12
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Skills,"Account Reconciliation",-1,13
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Skills,"Sales Operations",-1,14
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Skills,"Financial Analysis",-1,15
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Skills,"General Ledger",-1,16
2021-03-31,us,"United States","Atlanta Metropolitan Area","All",Top Trending Skills,"Data Analysis",-1,17
