date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Employers,"Apple",5.224401604546821,1
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Employers,"Facebook",13.127754504321418,2
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Employers,"Amazon",12.005815873431489,3
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Employers,"The University of Texas at Austin",2.214431708103871,4
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Employers,"Charles Schwab",7.772170329785457,5
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Employers,"Indeed.com",4.7831323630231894,6
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Employers,"H-E-B",8.781737850094137,7
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Employers,"Ascension",8.61854822744759,8
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Employers,"Whole Foods Market",5.9365218197735,9
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Employers,"Accenture",4.473621692942338,10
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Employers,"Atlassian",16.48901490246053,11
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Employers,"Amazon Web Services (AWS)",15.537104554513013,12
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Employers,"Texas Health and Human Services",4.1646517575017805,13
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Employers,"Dell",1.5227635799137964,14
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Employers,"BigCommerce",17.101310460198466,15
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Employers,"AMD",4.0930557864273025,16
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Employers,"City of Austin",2.7933209103107197,17
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Employers,"SailPoint",10.390382847591486,18
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Jobs,"Software Engineer",5.810761123253727,1
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Jobs,"Account Executive",2.118646045540317,2
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Jobs,"Project Manager",2.110820444613886,3
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Jobs,"Real Estate Agent",1.7072025556969745,4
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Jobs,"Account Manager",1.355200820069941,5
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Jobs,"Product Manager",0.8876483787192383,6
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Jobs,"Nurse",0.8138749900305707,7
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Jobs,"Recruiter",0.7850913288002156,8
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Jobs,"Program Manager",0.7702444009424217,9
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Jobs,"Customer Service Representative",0.7356185625783245,11
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Jobs,"Accountant",0.7047357745230115,12
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Jobs,"Sales Manager",0.6908672967680999,13
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Jobs,"Customer Success Manager",0.6890696188157628,14
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Jobs,"Sales Director",0.6251700451811317,15
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Jobs,"Teacher",0.5859154192601723,16
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Jobs,"Attorney",0.573043054929773,17
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Jobs,"Operations Manager",0.5689489658929713,18
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Jobs,"General Manager",0.5445368370912718,19
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Jobs,"Salesperson",0.5418145245182983,20
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Skills,"Teaching",-1,1
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Skills,"JavaScript",-1,2
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Skills,"Curriculum Development",-1,3
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Skills,"Account Management",-1,4
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Skills,"Sales Management",-1,5
2020-05-01,us,"United States","Austin, Texas Metropolitan Area","All",Top Trending Skills,"Investment Properties",-1,6
