date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Employers,"The Ohio State University",2.509042659159045,1
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Employers,"Nationwide",2.7237322837318905,2
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Employers,"The Ohio State University Wexner Medical Center",3.3692986899782027,3
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Employers,"Huntington National Bank",4.710214647765145,4
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Employers,"Nationwide Children's Hospital",3.3960859670996295,5
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Employers,"JPMorgan Chase & Co.",1.5330304425529695,6
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Employers,"Amazon",16.27191828859519,7
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Employers,"OhioHealth",2.4139240790891274,8
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Employers,"CoverMyMeds",9.642749121514706,9
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Employers,"Root Inc.",13.421567985983195,10
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Employers,"Mount Carmel Health System",4.665259134574886,11
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Employers,"American Electric Power",2.4971046877067167,12
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Employers,"Battelle",5.686427693378073,13
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Jobs,"Software Engineer",2.4956800335667264,1
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Jobs,"Nurse",2.0859923730462837,2
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Jobs,"Project Manager",1.937205645860813,3
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Jobs,"Real Estate Agent",1.7055489089290239,4
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Jobs,"Account Manager",1.379134461089218,5
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Jobs,"Customer Service Representative",1.078315103820056,6
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Jobs,"Sales Manager",0.9899607458404578,7
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Jobs,"Salesperson",0.989011678880028,8
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Jobs,"Account Executive",0.9204358451580488,9
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Jobs,"Operations Manager",0.8804473651838896,10
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Jobs,"Account Coordinator",0.8697653611053725,11
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Jobs,"Accountant",0.7694807351932772,13
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Jobs,"Attorney",0.7019486608742639,14
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Jobs,"Recruiter",0.698763835220374,15
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Jobs,"Business Analyst",0.683039347465465,16
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Jobs,"Financial Analyst",0.6225587340541414,17
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Jobs,"Teacher",0.608995615811207,18
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Jobs,"Fulfillment Associate",0.5674230110986929,19
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Jobs,"General Manager",0.5434989238462079,20
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Skills,"Teaching",-1,1
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Skills,"JavaScript",-1,2
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Skills,"Curriculum Development",-1,3
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Skills,"Account Management",-1,4
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Skills,"Sales Management",-1,5
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Skills,"Investment Properties",-1,6
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Skills,"Working with First-Time Home Buyers",-1,7
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Skills,"Team Building",-1,8
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Skills,"Operations Management",-1,9
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Skills,"Legal Writing",-1,10
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Skills,"Recruiting",-1,11
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Skills,"Construction Management",-1,12
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Skills,"Civil Litigation",-1,13
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Skills,"Account Reconciliation",-1,14
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Skills,"Business Analysis",-1,15
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Skills,"Sales Operations",-1,16
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Skills,"Inventory Management",-1,17
2020-04-01,us,"United States","Columbus, Ohio Metropolitan Area","All",Top Trending Skills,"Financial Analysis",-1,18
