date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-04-01,us,"United States","Denver Metropolitan Area","Real Estate",Top Trending Jobs,"Real Estate Agent",23.701320687875885,1
2021-04-01,us,"United States","Denver Metropolitan Area","Real Estate",Top Trending Jobs,"Real Estate Agent",22.019879005439012,2
2021-04-01,us,"United States","Denver Metropolitan Area","Real Estate",Top Trending Jobs,"Real Estate Broker",11.671439435275714,3
2021-04-01,us,"United States","Denver Metropolitan Area","Real Estate",Top Trending Jobs,"Real Estate Broker",10.38407947411601,4
2021-04-01,us,"United States","Denver Metropolitan Area","Real Estate",Top Trending Skills,"Investment Properties",-1,1
2021-04-01,us,"United States","Denver Metropolitan Area","Real Estate",Top Trending Skills,"Investment Properties",-1,2
2021-04-01,us,"United States","Denver Metropolitan Area","Real Estate",Top Trending Skills,"Investment Properties",-1,3
2021-04-01,us,"United States","Denver Metropolitan Area","Real Estate",Top Trending Skills,"Investment Properties",-1,4
2021-04-01,us,"United States","Denver Metropolitan Area","Real Estate",Top Trending Skills,"Working with First-Time Home Buyers",-1,5
2021-04-01,us,"United States","Denver Metropolitan Area","Real Estate",Top Trending Skills,"Working with First-Time Home Buyers",-1,6
2021-04-01,us,"United States","Denver Metropolitan Area","Real Estate",Top Trending Skills,"Working with First-Time Home Buyers",-1,7
2021-04-01,us,"United States","Denver Metropolitan Area","Real Estate",Top Trending Skills,"Working with First-Time Home Buyers",-1,8
