date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,us,"United States","Des Moines Metropolitan Area","All",Top Trending Employers,"Iowa State University",9.230727860171632,1
2020-09-01,us,"United States","Des Moines Metropolitan Area","All",Top Trending Employers,"Wells Fargo",2.159045977599822,2
2020-09-01,us,"United States","Des Moines Metropolitan Area","All",Top Trending Employers,"Hy-Vee, Inc.",6.777797156234554,3
2020-09-01,us,"United States","Des Moines Metropolitan Area","All",Top Trending Employers,"Drake University",8.770102863798138,4
2020-09-01,us,"United States","Des Moines Metropolitan Area","All",Top Trending Employers,"Amazon",113.6515582304794,5
2020-09-01,us,"United States","Des Moines Metropolitan Area","All",Top Trending Employers,"Waukee Aspiring Professional Experience (APEX)",95.91882999252957,6
2020-09-01,us,"United States","Des Moines Metropolitan Area","All",Top Trending Jobs,"Software Engineer",2.0635250533326226,1
2020-09-01,us,"United States","Des Moines Metropolitan Area","All",Top Trending Jobs,"Real Estate Agent",1.5410784409622305,2
2020-09-01,us,"United States","Des Moines Metropolitan Area","All",Top Trending Jobs,"Teacher",1.485986707803025,3
2020-09-01,us,"United States","Des Moines Metropolitan Area","All",Top Trending Skills,"Teaching",-1,1
2020-09-01,us,"United States","Des Moines Metropolitan Area","All",Top Trending Skills,"JavaScript",-1,2
2020-09-01,us,"United States","Des Moines Metropolitan Area","All",Top Trending Skills,"Curriculum Development",-1,3
2020-09-01,us,"United States","Des Moines Metropolitan Area","All",Top Trending Skills,"Investment Properties",-1,4
2020-09-01,us,"United States","Des Moines Metropolitan Area","All",Top Trending Skills,"Working with First-Time Home Buyers",-1,5
