date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-08-01,us,"United States","Detroit Metropolitan Area","Health Care",Top Trending Employers,"Henry Ford Health System",4.470609595540343,1
2020-08-01,us,"United States","Detroit Metropolitan Area","Health Care",Top Trending Employers,"Beaumont Health",2.9643017064695423,2
2020-08-01,us,"United States","Detroit Metropolitan Area","Health Care",Top Trending Employers,"Michigan Medicine",2.6389224039580528,3
2020-08-01,us,"United States","Detroit Metropolitan Area","Health Care",Top Trending Employers,"Ascension",5.068911475650991,4
2020-08-01,us,"United States","Detroit Metropolitan Area","Health Care",Top Trending Employers,"Centene Corporation",25.90307195511415,5
2020-08-01,us,"United States","Detroit Metropolitan Area","Health Care",Top Trending Employers,"Optum",42.470191554590414,6
2020-08-01,us,"United States","Detroit Metropolitan Area","Health Care",Top Trending Employers,"Detroit Medical Center",5.364302301855629,7
2020-08-01,us,"United States","Detroit Metropolitan Area","Health Care",Top Trending Jobs,"Nurse",7.447934760998233,1
2020-08-01,us,"United States","Detroit Metropolitan Area","Health Care",Top Trending Jobs,"Medical Resident",2.466610081202326,2
2020-08-01,us,"United States","Detroit Metropolitan Area","Health Care",Top Trending Jobs,"Clinical Fellow",2.1139254879448335,3
2020-08-01,us,"United States","Detroit Metropolitan Area","Health Care",Top Trending Jobs,"Behavioral Health Technician",2.0104387994517334,4
2020-08-01,us,"United States","Detroit Metropolitan Area","Health Care",Top Trending Skills,"Nursing",-1,1
2020-08-01,us,"United States","Detroit Metropolitan Area","Health Care",Top Trending Skills,"Basic Life Support (BLS)",-1,2
2020-08-01,us,"United States","Detroit Metropolitan Area","Health Care",Top Trending Skills,"Applied Behavior Analysis",-1,3
2020-08-01,us,"United States","Detroit Metropolitan Area","Health Care",Top Trending Skills,"Clinical Research",-1,4
2020-08-01,us,"United States","Detroit Metropolitan Area","Health Care",Top Trending Skills,"Behavioral Health",-1,5
2020-08-01,us,"United States","Detroit Metropolitan Area","Health Care",Top Trending Skills,"Clinical Pharmacy",-1,6
