date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-11-01,us,"United States","Detroit Metropolitan Area","Finance",Top Trending Employers,"United Wholesale Mortgage",15.442072455642988,1
2020-11-01,us,"United States","Detroit Metropolitan Area","Finance",Top Trending Employers,"Blue Cross Blue Shield of Michigan",2.2061299052642944,2
2020-11-01,us,"United States","Detroit Metropolitan Area","Finance",Top Trending Employers,"United Shore",5.5024068247882045,3
2020-11-01,us,"United States","Detroit Metropolitan Area","Finance",Top Trending Employers,"Flagstar Bank",4.4216068385197085,4
2020-11-01,us,"United States","Detroit Metropolitan Area","Finance",Top Trending Jobs,"Underwriter",9.992817469142485,1
2020-11-01,us,"United States","Detroit Metropolitan Area","Finance",Top Trending Jobs,"Account Executive",6.720384790565058,2
2020-11-01,us,"United States","Detroit Metropolitan Area","Finance",Top Trending Jobs,"Mortgage Loan Officer",4.313639126250778,3
2020-11-01,us,"United States","Detroit Metropolitan Area","Finance",Top Trending Jobs,"Banker",3.586487447837921,4
2020-11-01,us,"United States","Detroit Metropolitan Area","Finance",Top Trending Jobs,"Software Engineer",3.204564985379199,5
2020-11-01,us,"United States","Detroit Metropolitan Area","Finance",Top Trending Jobs,"Mortgage Underwriter",2.4291529129454807,6
2020-11-01,us,"United States","Detroit Metropolitan Area","Finance",Top Trending Skills,"JavaScript",-1,1
2020-11-01,us,"United States","Detroit Metropolitan Area","Finance",Top Trending Skills,"Account Management",-1,2
2020-11-01,us,"United States","Detroit Metropolitan Area","Finance",Top Trending Skills,"Underwriting",-1,3
2020-11-01,us,"United States","Detroit Metropolitan Area","Finance",Top Trending Skills,"Mortgage Lending",-1,4
2020-11-01,us,"United States","Detroit Metropolitan Area","Finance",Top Trending Skills,"Insurance",-1,5
