date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-04-01,us,"United States","Detroit Metropolitan Area","Legal",Top Trending Jobs,"Attorney",41.080201876896375,1
2021-04-01,us,"United States","Detroit Metropolitan Area","Legal",Top Trending Jobs,"Attorney",36.535318316571434,2
2021-04-01,us,"United States","Detroit Metropolitan Area","Legal",Top Trending Skills,"Legal Writing",-1,1
2021-04-01,us,"United States","Detroit Metropolitan Area","Legal",Top Trending Skills,"Legal Writing",-1,2
2021-04-01,us,"United States","Detroit Metropolitan Area","Legal",Top Trending Skills,"Legal Writing",-1,3
2021-04-01,us,"United States","Detroit Metropolitan Area","Legal",Top Trending Skills,"Legal Writing",-1,4
2021-04-01,us,"United States","Detroit Metropolitan Area","Legal",Top Trending Skills,"Civil Litigation",-1,5
2021-04-01,us,"United States","Detroit Metropolitan Area","Legal",Top Trending Skills,"Civil Litigation",-1,6
2021-04-01,us,"United States","Detroit Metropolitan Area","Legal",Top Trending Skills,"Civil Litigation",-1,7
2021-04-01,us,"United States","Detroit Metropolitan Area","Legal",Top Trending Skills,"Civil Litigation",-1,8
