date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Employers,"General Motors",5.053154987130282,1
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Employers,"Ford Motor Company",2.492793746855827,2
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Employers,"Rivian",12.187849981666481,3
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Employers,"Magna International",4.312804859505391,4
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Employers,"ZF Group",2.271854568460458,5
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Jobs,"Software Engineer",5.228948640434545,1
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Jobs,"Buyer",2.3358949827676683,2
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Jobs,"Design Release Engineer",1.8586510674827046,3
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Jobs,"Account Manager",1.847065912198076,4
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Jobs,"Program Manager",1.779073260550091,5
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Jobs,"Project Manager",1.7566935165812643,6
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Jobs,"System Engineer",1.6876408671414735,7
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Jobs,"Application Engineer",1.406589430832179,8
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Jobs,"Sales Manager",1.3818476067793615,9
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Jobs,"Design Engineer",1.3069262918395248,10
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Jobs,"Financial Analyst",1.259035558188727,11
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Jobs,"Product Engineer",1.2314082391954977,12
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Skills,"JavaScript",-1,1
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Skills,"Account Management",-1,2
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Skills,"Sales Management",-1,3
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Skills,"Construction Management",-1,4
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Skills,"Program Management",-1,5
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Skills,"Sales Operations",-1,6
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Skills,"Financial Analysis",-1,7
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Skills,"Financial Reporting",-1,8
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Skills,"Cross-functional Team Leadership",-1,9
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Skills,"Systems Engineering",-1,10
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Skills,"Inventory Management",-1,11
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Skills,"Integration",-1,12
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Skills,"SOLIDWORKS",-1,13
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Skills,"Computer-Aided Design (CAD)",-1,14
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Skills,"Product Development",-1,15
2021-06-01,us,"United States","Detroit Metropolitan Area","Manufacturing",Top Trending Skills,"Design Failure Mode and Effect Analysis (DFMEA)",-1,16
