date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-04-01,us,"United States","Greater Boston","Legal",Top Trending Jobs,"Attorney",24.92358999462777,1
2021-04-01,us,"United States","Greater Boston","Legal",Top Trending Jobs,"Attorney",24.859523030432307,2
2021-04-01,us,"United States","Greater Boston","Legal",Top Trending Jobs,"Paralegal",19.111435323889694,3
2021-04-01,us,"United States","Greater Boston","Legal",Top Trending Skills,"Legal Writing",-1,1
2021-04-01,us,"United States","Greater Boston","Legal",Top Trending Skills,"Legal Writing",-1,2
2021-04-01,us,"United States","Greater Boston","Legal",Top Trending Skills,"Legal Writing",-1,3
2021-04-01,us,"United States","Greater Boston","Legal",Top Trending Skills,"Legal Writing",-1,4
2021-04-01,us,"United States","Greater Boston","Legal",Top Trending Skills,"Civil Litigation",-1,5
2021-04-01,us,"United States","Greater Boston","Legal",Top Trending Skills,"Civil Litigation",-1,6
2021-04-01,us,"United States","Greater Boston","Legal",Top Trending Skills,"Civil Litigation",-1,7
2021-04-01,us,"United States","Greater Boston","Legal",Top Trending Skills,"Civil Litigation",-1,8
2021-04-01,us,"United States","Greater Boston","Legal",Top Trending Skills,"Legal Research",-1,9
2021-04-01,us,"United States","Greater Boston","Legal",Top Trending Skills,"Legal Research",-1,10
