date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Employers,"JPMorgan Chase & Co.",3.350099836370135,1
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Employers,"Guaranteed Rate",9.677959822396028,2
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Employers,"GoHealth",29.657502741109017,3
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Employers,"Northern Trust Corporation",2.5875419072756634,4
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Employers,"Northwestern Mutual",11.981647882519077,5
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Employers,"Allstate",1.665365635221185,6
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Employers,"State Farm ®",7.667853156573737,7
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Employers,"Dovenmuehle Mortgage, Inc.",10.363551184425905,8
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Employers,"Kemper",18.11008631122081,9
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Employers,"Fifth Third Bank",4.257431373734571,10
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Jobs,"Software Engineer",6.474520161469586,1
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Jobs,"Financial Advisor",2.531498671158303,2
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Jobs,"Insurance Agent",1.8727007809156686,3
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Jobs,"Underwriter",1.7805313069214637,4
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Jobs,"Financial Representative",1.7374669480712348,5
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Jobs,"Investment Analyst",1.632225738150708,6
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Jobs,"Financial Analyst",1.5860890361804214,7
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Jobs,"Account Manager",1.5576704175678582,8
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Jobs,"Mortgage Loan Officer",1.2850400542756688,9
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Jobs,"Account Executive",1.2270102579718798,10
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Skills,"JavaScript",-1,1
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Skills,"Account Management",-1,2
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Skills,"Financial Analysis",-1,3
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Skills,"Public Speaking",-1,4
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Skills,"Financial Reporting",-1,5
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Skills,"Retirement Planning",-1,6
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Skills,"Nonprofit Organizations",-1,7
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Skills,"Investments",-1,8
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Skills,"Life Insurance",-1,9
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Skills,"Property & Casualty Insurance",-1,10
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Skills,"Underwriting",-1,11
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Skills,"Mortgage Lending",-1,12
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Skills,"Insurance",-1,13
2020-07-01,us,"United States","Greater Chicago Area","Finance",Top Trending Skills,"Financial Modeling",-1,14
