date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Employers,"AbbVie",3.925554492791473,1
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Employers,"Abbott",6.341657668674787,2
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Employers,"Rush University Medical Center",4.3844820267709474,3
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Employers,"Northwestern Medicine",3.8242677396186453,4
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Employers,"Tempus Labs, Inc.",16.36627458776442,5
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Employers,"UChicago Medicine",4.8758965658848314,6
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Employers,"Northwestern Memorial Hospital",3.9454491503888454,7
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Employers,"Medline Industries, Inc.",3.262094386884816,8
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Employers,"AMITA Health",2.767508485298954,9
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Employers,"DuPage Medical Group",7.381154963947832,10
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Employers,"Ann & Robert H. Lurie Children's Hospital of Chicago",2.9950717162144977,11
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Employers,"Loyola Medicine",8.12806360672381,12
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Employers,"UI Health",5.588331634067655,13
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Employers,"Baxter International Inc.",2.881769282108646,14
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Employers,"Illinois Bone & Joint Institute",15.30327139413016,15
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Employers,"Centene Corporation",12.449603838751818,16
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Employers,"Oak Street Health",7.541220027949551,17
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Jobs,"Nurse",9.083044127320274,1
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Jobs,"Physical Therapist",1.8083616408688885,2
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Jobs,"Occupational Therapist",0.9619671018450148,3
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Jobs,"Patient Care Technician",0.9555217934587914,4
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Jobs,"Behavioral Therapist",0.9363224188061073,5
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Jobs,"Psychotherapist",0.9265972804790256,6
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Jobs,"Pharmacy Technician",0.8951939780173654,7
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Jobs,"Software Engineer",0.862486013563508,8
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Jobs,"Product Manager",0.8464302923642459,9
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Jobs,"Medical Doctor",0.8287175014533585,10
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Jobs,"Speech Language Pathologist",0.8227828375608238,11
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Jobs,"Project Manager",0.8076042728906154,12
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Jobs,"Customer Service Representative",0.7620024645113713,13
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Jobs,"Family Nurse Practitioner",0.7270458280867914,14
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Jobs,"Account Manager",0.7174359625956442,15
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Jobs,"Salesperson",0.65417468580175,16
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Jobs,"Postdoctoral Researcher",0.6528828882311858,17
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"JavaScript",-1,1
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"Account Management",-1,2
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"Construction Management",-1,3
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"Customer Satisfaction",-1,4
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"Nursing",-1,5
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"Pharmacy",-1,6
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"Physical Therapy",-1,7
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"Agile Methodologies",-1,8
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"Rehabilitation",-1,9
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"Molecular Biology",-1,10
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"Pharmacy Technicians",-1,11
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"Basic Life Support (BLS)",-1,12
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"Cell Culture",-1,13
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"Speech Therapy",-1,14
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"Occupational Therapy",-1,15
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"Speech",-1,16
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"Psychotherapy",-1,17
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"Mental Health Counseling",-1,18
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"Applied Behavior Analysis",-1,19
2020-10-01,us,"United States","Greater Chicago Area","Health Care",Top Trending Skills,"Cardiopulmonary Resuscitation (CPR)",-1,20
