date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-02-01,us,"United States","Greater Chicago Area","Media & Communications",Top Trending Jobs,"Account Executive",8.32728103623563,1
2021-02-01,us,"United States","Greater Chicago Area","Media & Communications",Top Trending Jobs,"Account Manager",4.26623269099045,2
2021-02-01,us,"United States","Greater Chicago Area","Media & Communications",Top Trending Jobs,"Project Manager",3.1448541720316823,3
2021-02-01,us,"United States","Greater Chicago Area","Media & Communications",Top Trending Jobs,"Creative Director",2.725670236396845,4
2021-02-01,us,"United States","Greater Chicago Area","Media & Communications",Top Trending Jobs,"Writer",2.4915270102597002,5
2021-02-01,us,"United States","Greater Chicago Area","Media & Communications",Top Trending Jobs,"Account Director",2.4819876741508673,6
2021-02-01,us,"United States","Greater Chicago Area","Media & Communications",Top Trending Jobs,"Art Director",2.3497074881123616,7
2021-02-01,us,"United States","Greater Chicago Area","Media & Communications",Top Trending Skills,"Account Management",-1,1
2021-02-01,us,"United States","Greater Chicago Area","Media & Communications",Top Trending Skills,"Writing",-1,2
2021-02-01,us,"United States","Greater Chicago Area","Media & Communications",Top Trending Skills,"Editing",-1,3
2021-02-01,us,"United States","Greater Chicago Area","Media & Communications",Top Trending Skills,"Construction Management",-1,4
2021-02-01,us,"United States","Greater Chicago Area","Media & Communications",Top Trending Skills,"Adobe Creative Suite",-1,5
2021-02-01,us,"United States","Greater Chicago Area","Media & Communications",Top Trending Skills,"Art Direction",-1,6
2021-02-01,us,"United States","Greater Chicago Area","Media & Communications",Top Trending Skills,"Integrated Marketing",-1,7
