date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"Houston Methodist",2.8013984060938197,1
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"Amazon",9.368475290597866,2
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"Memorial Hermann Health System",2.6700524102430756,3
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"Baylor College of Medicine",2.433340416528165,4
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"The University of Texas Health Science Center at Houston (UTHealth)",3.1298415086068267,5
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"MD Anderson Cancer Center",1.0744567925231117,6
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"University of Houston",1.6975382513723416,7
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"HCA Healthcare",4.936708801225481,8
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"Target",8.21488884491146,9
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"eXp Realty",12.210721163805415,10
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"City of Houston",2.7229607773503246,11
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"Houston ISD",1.3790889306247787,12
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"Deloitte",3.2536997559404326,13
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"Sysco",3.2691576603379873,14
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"Academy Sports + Outdoors",4.37767976052406,15
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"Texas Children's Hospital",1.3796130140000682,16
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"Keller Williams Realty, Inc.",4.258598473363861,17
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"Compass",16.956813238617357,18
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"PwC",3.3579473445185233,19
2020-12-01,us,"United States","Greater Houston","All",Top Trending Employers,"JPMorgan Chase & Co.",2.328044566407015,20
2020-12-01,us,"United States","Greater Houston","All",Top Trending Jobs,"Real Estate Agent",3.4170774890603903,1
2020-12-01,us,"United States","Greater Houston","All",Top Trending Jobs,"Project Manager",2.0597248160054633,2
2020-12-01,us,"United States","Greater Houston","All",Top Trending Jobs,"Account Manager",1.4559812406325283,3
2020-12-01,us,"United States","Greater Houston","All",Top Trending Jobs,"Salesperson",1.4136422236574036,4
2020-12-01,us,"United States","Greater Houston","All",Top Trending Jobs,"Nurse",1.3417685693571353,5
2020-12-01,us,"United States","Greater Houston","All",Top Trending Jobs,"Customer Service Representative",1.2803411828204274,6
2020-12-01,us,"United States","Greater Houston","All",Top Trending Jobs,"Software Engineer",1.2234314160018265,7
2020-12-01,us,"United States","Greater Houston","All",Top Trending Jobs,"Sales Manager",1.1786844146312077,8
2020-12-01,us,"United States","Greater Houston","All",Top Trending Jobs,"Teacher",1.1296094888695773,9
2020-12-01,us,"United States","Greater Houston","All",Top Trending Jobs,"Account Executive",1.0427883963930935,10
2020-12-01,us,"United States","Greater Houston","All",Top Trending Jobs,"Accountant",0.8651601117381135,11
2020-12-01,us,"United States","Greater Houston","All",Top Trending Jobs,"Business Development Manager",0.8037720569785963,12
2020-12-01,us,"United States","Greater Houston","All",Top Trending Jobs,"Attorney",0.7988735183115082,13
2020-12-01,us,"United States","Greater Houston","All",Top Trending Jobs,"Operations Manager",0.7905396581617877,14
2020-12-01,us,"United States","Greater Houston","All",Top Trending Jobs,"General Manager",0.6843472356303402,15
2020-12-01,us,"United States","Greater Houston","All",Top Trending Jobs,"Recruiter",0.6247933784013161,16
2020-12-01,us,"United States","Greater Houston","All",Top Trending Jobs,"Sales Director",0.5258878739591155,17
2020-12-01,us,"United States","Greater Houston","All",Top Trending Jobs,"Sales Consultant",0.44290911225201124,19
2020-12-01,us,"United States","Greater Houston","All",Top Trending Jobs,"Human Resources Administrator",0.4383713837245537,20
2020-12-01,us,"United States","Greater Houston","All",Top Trending Skills,"Teaching",-1,1
2020-12-01,us,"United States","Greater Houston","All",Top Trending Skills,"JavaScript",-1,2
2020-12-01,us,"United States","Greater Houston","All",Top Trending Skills,"Curriculum Development",-1,3
2020-12-01,us,"United States","Greater Houston","All",Top Trending Skills,"Account Management",-1,4
2020-12-01,us,"United States","Greater Houston","All",Top Trending Skills,"Sales Management",-1,5
2020-12-01,us,"United States","Greater Houston","All",Top Trending Skills,"Investment Properties",-1,6
2020-12-01,us,"United States","Greater Houston","All",Top Trending Skills,"Working with First-Time Home Buyers",-1,7
2020-12-01,us,"United States","Greater Houston","All",Top Trending Skills,"Team Building",-1,8
2020-12-01,us,"United States","Greater Houston","All",Top Trending Skills,"Operations Management",-1,9
2020-12-01,us,"United States","Greater Houston","All",Top Trending Skills,"Legal Writing",-1,10
2020-12-01,us,"United States","Greater Houston","All",Top Trending Skills,"Recruiting",-1,11
2020-12-01,us,"United States","Greater Houston","All",Top Trending Skills,"Construction Management",-1,12
2020-12-01,us,"United States","Greater Houston","All",Top Trending Skills,"Civil Litigation",-1,13
2020-12-01,us,"United States","Greater Houston","All",Top Trending Skills,"Account Reconciliation",-1,14
2020-12-01,us,"United States","Greater Houston","All",Top Trending Skills,"Sales Operations",-1,15
