date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Employers,"Tulane University",8.93628901303871,1
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Employers,"Ochsner Health",4.0702879414776705,2
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Employers,"Tulane University School of Medicine",14.019139694605427,3
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Jobs,"Teacher",2.3824715486706887,1
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Jobs,"Software Engineer",1.7661678729632295,2
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Jobs,"Nurse",1.7590376436875899,3
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Jobs,"Attorney",1.7419407096292774,4
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Jobs,"Real Estate Agent",1.7324780596191358,5
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Jobs,"Professor",1.5065785740037378,6
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Jobs,"Project Manager",1.3826624887386554,7
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Skills,"Teaching",-1,1
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Skills,"JavaScript",-1,2
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Skills,"Curriculum Development",-1,3
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Skills,"Investment Properties",-1,4
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Skills,"Working with First-Time Home Buyers",-1,5
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Skills,"Legal Writing",-1,6
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Skills,"Construction Management",-1,7
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Skills,"Higher Education",-1,8
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Skills,"Civil Litigation",-1,9
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Skills,"Nursing",-1,10
2020-08-01,us,"United States","Greater New Orleans Region","All",Top Trending Skills,"Basic Life Support (BLS)",-1,11
