date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-07-01,us,"United States","Greater Philadelphia","Finance",Top Trending Employers,"Vanguard",3.043552810404985,1
2020-07-01,us,"United States","Greater Philadelphia","Finance",Top Trending Employers,"Freedom Mortgage",17.75268996102585,2
2020-07-01,us,"United States","Greater Philadelphia","Finance",Top Trending Employers,"JPMorgan Chase & Co.",2.192781545516797,3
2020-07-01,us,"United States","Greater Philadelphia","Finance",Top Trending Employers,"Wells Fargo",4.225424595160502,4
2020-07-01,us,"United States","Greater Philadelphia","Finance",Top Trending Employers,"SEI",4.120140000243482,5
2020-07-01,us,"United States","Greater Philadelphia","Finance",Top Trending Employers,"Citi",5.308467152324047,6
2020-07-01,us,"United States","Greater Philadelphia","Finance",Top Trending Employers,"Barclays",8.176753889544692,7
2020-07-01,us,"United States","Greater Philadelphia","Finance",Top Trending Jobs,"Software Engineer",4.487928166629233,1
2020-07-01,us,"United States","Greater Philadelphia","Finance",Top Trending Jobs,"Financial Advisor",3.651502269372183,2
2020-07-01,us,"United States","Greater Philadelphia","Finance",Top Trending Jobs,"Mortgage Loan Officer",3.1016760728068817,3
2020-07-01,us,"United States","Greater Philadelphia","Finance",Top Trending Jobs,"Underwriter",2.1676682849699813,4
2020-07-01,us,"United States","Greater Philadelphia","Finance",Top Trending Skills,"JavaScript",-1,1
2020-07-01,us,"United States","Greater Philadelphia","Finance",Top Trending Skills,"Retirement Planning",-1,2
2020-07-01,us,"United States","Greater Philadelphia","Finance",Top Trending Skills,"Investments",-1,3
2020-07-01,us,"United States","Greater Philadelphia","Finance",Top Trending Skills,"Underwriting",-1,4
2020-07-01,us,"United States","Greater Philadelphia","Finance",Top Trending Skills,"Mortgage Lending",-1,5
2020-07-01,us,"United States","Greater Philadelphia","Finance",Top Trending Skills,"Insurance",-1,6
