date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-07-01,us,"United States","Greater Phoenix Area","Real Estate",Top Trending Employers,"Greystar",89.49941093859145,1
2020-07-01,us,"United States","Greater Phoenix Area","Real Estate",Top Trending Employers,"HomeSmart",6.441789941546822,2
2020-07-01,us,"United States","Greater Phoenix Area","Real Estate",Top Trending Employers,"eXp Realty",9.75444610065466,3
2020-07-01,us,"United States","Greater Phoenix Area","Real Estate",Top Trending Employers,"Realty ONE Group",6.363547730936975,4
2020-07-01,us,"United States","Greater Phoenix Area","Real Estate",Top Trending Jobs,"Real Estate Agent",43.50652441494746,1
2020-07-01,us,"United States","Greater Phoenix Area","Real Estate",Top Trending Jobs,"Community Manager",3.577971089379416,2
2020-07-01,us,"United States","Greater Phoenix Area","Real Estate",Top Trending Jobs,"Property Manager",3.5313881147190203,3
2020-07-01,us,"United States","Greater Phoenix Area","Real Estate",Top Trending Skills,"Investment Properties",-1,1
2020-07-01,us,"United States","Greater Phoenix Area","Real Estate",Top Trending Skills,"Working with First-Time Home Buyers",-1,2
2020-07-01,us,"United States","Greater Phoenix Area","Real Estate",Top Trending Skills,"Property Management",-1,3
2020-07-01,us,"United States","Greater Phoenix Area","Real Estate",Top Trending Skills,"Apartments",-1,4
