date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-05-01,us,"United States","Greater Richmond Region","All",Top Trending Employers,"Capital One",2.54297842936551,1
2020-05-01,us,"United States","Greater Richmond Region","All",Top Trending Employers,"VCU Health",4.355395369775872,2
2020-05-01,us,"United States","Greater Richmond Region","All",Top Trending Employers,"Amazon",13.444375120651944,3
2020-05-01,us,"United States","Greater Richmond Region","All",Top Trending Employers,"Virginia Commonwealth University",1.8258815528914705,4
2020-05-01,us,"United States","Greater Richmond Region","All",Top Trending Jobs,"Software Engineer",2.502849322163214,1
2020-05-01,us,"United States","Greater Richmond Region","All",Top Trending Jobs,"Nurse",1.7980631074553302,2
2020-05-01,us,"United States","Greater Richmond Region","All",Top Trending Jobs,"Project Manager",1.5691063737941002,3
2020-05-01,us,"United States","Greater Richmond Region","All",Top Trending Jobs,"Real Estate Agent",1.5108297586002237,4
2020-05-01,us,"United States","Greater Richmond Region","All",Top Trending Skills,"JavaScript",-1,1
2020-05-01,us,"United States","Greater Richmond Region","All",Top Trending Skills,"Investment Properties",-1,2
2020-05-01,us,"United States","Greater Richmond Region","All",Top Trending Skills,"Working with First-Time Home Buyers",-1,3
2020-05-01,us,"United States","Greater Richmond Region","All",Top Trending Skills,"Construction Management",-1,4
2020-05-01,us,"United States","Greater Richmond Region","All",Top Trending Skills,"Nursing",-1,5
2020-05-01,us,"United States","Greater Richmond Region","All",Top Trending Skills,"Basic Life Support (BLS)",-1,6
